,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2000-09-11/2000-09-17,0,2000-09-11 00:00:00.000000000,2000-09-17 23:59:59.999999999,2,1,0,2,1,0,0,0,0
2000-09-18/2000-09-24,1,2000-09-18 00:00:00.000000000,2000-09-24 23:59:59.999999999,2,0,0,2,0,0,0,0,0
2000-09-25/2000-10-01,2,2000-09-25 00:00:00.000000000,2000-10-01 23:59:59.999999999,3,1,0,2,0,0,0,0,0
2000-10-02/2000-10-08,3,2000-10-02 00:00:00.000000000,2000-10-08 23:59:59.999999999,6,3,0,4,2,0,0,0,0
2000-10-09/2000-10-15,4,2000-10-09 00:00:00.000000000,2000-10-15 23:59:59.999999999,8,2,0,5,1,0,0,0,0
2000-10-16/2000-10-22,5,2000-10-16 00:00:00.000000000,2000-10-22 23:59:59.999999999,8,0,0,5,0,0,0,0,0
2000-10-23/2000-10-29,6,2000-10-23 00:00:00.000000000,2000-10-29 23:59:59.999999999,8,0,0,5,0,0,0,0,0
2000-10-30/2000-11-05,7,2000-10-30 00:00:00.000000000,2000-11-05 23:59:59.999999999,12,4,0,7,2,0,0,0,0
2000-11-06/2000-11-12,8,2000-11-06 00:00:00.000000000,2000-11-12 23:59:59.999999999,13,1,0,7,0,0,0,0,0
2000-11-13/2000-11-19,9,2000-11-13 00:00:00.000000000,2000-11-19 23:59:59.999999999,14,1,0,8,1,0,0,0,0
2000-11-20/2000-11-26,10,2000-11-20 00:00:00.000000000,2000-11-26 23:59:59.999999999,14,0,0,8,0,0,0,0,0
2000-11-27/2000-12-03,11,2000-11-27 00:00:00.000000000,2000-12-03 23:59:59.999999999,16,2,0,9,1,0,0,0,0
2000-12-04/2000-12-10,12,2000-12-04 00:00:00.000000000,2000-12-10 23:59:59.999999999,19,3,0,10,1,0,0,0,0
2000-12-11/2000-12-17,13,2000-12-11 00:00:00.000000000,2000-12-17 23:59:59.999999999,21,2,0,12,2,0,0,0,0
2000-12-18/2000-12-24,14,2000-12-18 00:00:00.000000000,2000-12-24 23:59:59.999999999,25,4,0,15,3,0,0,0,0
2000-12-25/2000-12-31,15,2000-12-25 00:00:00.000000000,2000-12-31 23:59:59.999999999,30,5,0,18,3,0,0,0,0
2001-01-01/2001-01-07,16,2001-01-01 00:00:00.000000000,2001-01-07 23:59:59.999999999,31,1,0,19,1,0,0,0,0
2001-01-08/2001-01-14,17,2001-01-08 00:00:00.000000000,2001-01-14 23:59:59.999999999,33,2,0,21,2,0,0,0,0
2001-01-15/2001-01-21,18,2001-01-15 00:00:00.000000000,2001-01-21 23:59:59.999999999,35,2,0,23,2,0,0,0,0
2001-01-22/2001-01-28,19,2001-01-22 00:00:00.000000000,2001-01-28 23:59:59.999999999,36,1,0,23,0,0,0,0,0
2001-01-29/2001-02-04,20,2001-01-29 00:00:00.000000000,2001-02-04 23:59:59.999999999,37,1,0,24,1,0,0,0,0
2001-02-05/2001-02-11,21,2001-02-05 00:00:00.000000000,2001-02-11 23:59:59.999999999,46,9,0,31,7,0,1,1,0
2001-02-12/2001-02-18,22,2001-02-12 00:00:00.000000000,2001-02-18 23:59:59.999999999,56,10,0,36,5,0,4,3,0
2001-02-19/2001-02-25,23,2001-02-19 00:00:00.000000000,2001-02-25 23:59:59.999999999,67,11,0,40,4,0,7,3,0
2001-02-26/2001-03-04,24,2001-02-26 00:00:00.000000000,2001-03-04 23:59:59.999999999,70,3,0,43,3,0,7,0,0
2001-03-05/2001-03-11,25,2001-03-05 00:00:00.000000000,2001-03-11 23:59:59.999999999,84,14,0,51,8,0,9,2,0
2001-03-12/2001-03-18,26,2001-03-12 00:00:00.000000000,2001-03-18 23:59:59.999999999,101,17,0,57,6,0,11,2,0
2001-03-19/2001-03-25,27,2001-03-19 00:00:00.000000000,2001-03-25 23:59:59.999999999,109,8,0,62,5,0,12,1,0
2001-03-26/2001-04-01,28,2001-03-26 00:00:00.000000000,2001-04-01 23:59:59.999999999,121,12,0,71,9,0,12,0,0
2001-04-02/2001-04-08,29,2001-04-02 00:00:00.000000000,2001-04-08 23:59:59.999999999,133,12,0,74,3,0,14,2,0
2001-04-09/2001-04-15,30,2001-04-09 00:00:00.000000000,2001-04-15 23:59:59.999999999,142,9,0,78,4,0,15,1,0
2001-04-16/2001-04-22,31,2001-04-16 00:00:00.000000000,2001-04-22 23:59:59.999999999,152,10,0,85,7,0,15,0,0
2001-04-23/2001-04-29,32,2001-04-23 00:00:00.000000000,2001-04-29 23:59:59.999999999,171,19,0,96,11,0,16,1,0
2001-04-30/2001-05-06,33,2001-04-30 00:00:00.000000000,2001-05-06 23:59:59.999999999,177,6,0,100,4,0,17,1,0
2001-05-07/2001-05-13,34,2001-05-07 00:00:00.000000000,2001-05-13 23:59:59.999999999,193,16,0,108,8,0,17,0,0
2001-05-14/2001-05-20,35,2001-05-14 00:00:00.000000000,2001-05-20 23:59:59.999999999,201,8,0,113,5,0,17,0,0
2001-05-21/2001-05-27,36,2001-05-21 00:00:00.000000000,2001-05-27 23:59:59.999999999,213,12,0,119,6,0,18,1,0
2001-05-28/2001-06-03,37,2001-05-28 00:00:00.000000000,2001-06-03 23:59:59.999999999,219,6,0,123,4,0,19,1,0
2001-06-04/2001-06-10,38,2001-06-04 00:00:00.000000000,2001-06-10 23:59:59.999999999,230,11,0,132,9,0,20,1,0
2001-06-11/2001-06-17,39,2001-06-11 00:00:00.000000000,2001-06-17 23:59:59.999999999,243,13,0,137,5,0,22,2,0
2001-06-18/2001-06-24,40,2001-06-18 00:00:00.000000000,2001-06-24 23:59:59.999999999,247,4,0,137,0,0,23,1,0
2001-06-25/2001-07-01,41,2001-06-25 00:00:00.000000000,2001-07-01 23:59:59.999999999,254,7,0,139,2,0,23,0,0
