,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2001-01-15/2001-01-21,0,2001-01-15 00:00:00.000000000,2001-01-21 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-01-22/2001-01-28,1,2001-01-22 00:00:00.000000000,2001-01-28 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-01-29/2001-02-04,2,2001-01-29 00:00:00.000000000,2001-02-04 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-02-05/2001-02-11,3,2001-02-05 00:00:00.000000000,2001-02-11 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-02-12/2001-02-18,4,2001-02-12 00:00:00.000000000,2001-02-18 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-02-19/2001-02-25,5,2001-02-19 00:00:00.000000000,2001-02-25 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-02-26/2001-03-04,6,2001-02-26 00:00:00.000000000,2001-03-04 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-03-05/2001-03-11,7,2001-03-05 00:00:00.000000000,2001-03-11 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-03-12/2001-03-18,8,2001-03-12 00:00:00.000000000,2001-03-18 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-03-19/2001-03-25,9,2001-03-19 00:00:00.000000000,2001-03-25 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-03-26/2001-04-01,10,2001-03-26 00:00:00.000000000,2001-04-01 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-04-02/2001-04-08,11,2001-04-02 00:00:00.000000000,2001-04-08 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-04-09/2001-04-15,12,2001-04-09 00:00:00.000000000,2001-04-15 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-04-16/2001-04-22,13,2001-04-16 00:00:00.000000000,2001-04-22 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-04-23/2001-04-29,14,2001-04-23 00:00:00.000000000,2001-04-29 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-04-30/2001-05-06,15,2001-04-30 00:00:00.000000000,2001-05-06 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2001-05-07/2001-05-13,16,2001-05-07 00:00:00.000000000,2001-05-13 23:59:59.999999999,1,0,0,0,0,0,0,0,0
