,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2005-01-10/2005-01-16,0,2005-01-10 00:00:00.000000000,2005-01-16 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-01-17/2005-01-23,1,2005-01-17 00:00:00.000000000,2005-01-23 23:59:59.999999999,2,1,0,0,0,0,0,0,0
2005-01-24/2005-01-30,2,2005-01-24 00:00:00.000000000,2005-01-30 23:59:59.999999999,2,0,0,0,0,0,0,0,0
2005-01-31/2005-02-06,3,2005-01-31 00:00:00.000000000,2005-02-06 23:59:59.999999999,2,0,0,0,0,0,0,0,0
2005-02-07/2005-02-13,4,2005-02-07 00:00:00.000000000,2005-02-13 23:59:59.999999999,4,2,0,1,1,0,1,1,0
2005-02-14/2005-02-20,5,2005-02-14 00:00:00.000000000,2005-02-20 23:59:59.999999999,4,0,0,1,0,0,1,0,0
2005-02-21/2005-02-27,6,2005-02-21 00:00:00.000000000,2005-02-27 23:59:59.999999999,7,3,0,3,2,0,1,0,0
2005-02-28/2005-03-06,7,2005-02-28 00:00:00.000000000,2005-03-06 23:59:59.999999999,11,4,0,5,2,0,1,0,0
2005-03-07/2005-03-13,8,2005-03-07 00:00:00.000000000,2005-03-13 23:59:59.999999999,25,14,0,18,13,0,1,0,0
2005-03-14/2005-03-20,9,2005-03-14 00:00:00.000000000,2005-03-20 23:59:59.999999999,33,10,2,25,9,2,1,0,0
2005-03-21/2005-03-27,10,2005-03-21 00:00:00.000000000,2005-03-27 23:59:59.999999999,35,2,0,26,1,0,1,0,0
2005-03-28/2005-04-03,11,2005-03-28 00:00:00.000000000,2005-04-03 23:59:59.999999999,41,6,0,31,5,0,1,0,0
2005-04-04/2005-04-10,12,2005-04-04 00:00:00.000000000,2005-04-10 23:59:59.999999999,43,2,0,31,0,0,3,2,0
2005-04-11/2005-04-17,13,2005-04-11 00:00:00.000000000,2005-04-17 23:59:59.999999999,56,13,0,40,9,0,7,4,0
2005-04-18/2005-04-24,14,2005-04-18 00:00:00.000000000,2005-04-24 23:59:59.999999999,65,9,0,46,6,0,10,3,0
2005-04-25/2005-05-01,15,2005-04-25 00:00:00.000000000,2005-05-01 23:59:59.999999999,70,5,0,49,3,0,10,0,0
2005-05-02/2005-05-08,16,2005-05-02 00:00:00.000000000,2005-05-08 23:59:59.999999999,72,2,0,50,1,0,10,0,0
2005-05-09/2005-05-15,17,2005-05-09 00:00:00.000000000,2005-05-15 23:59:59.999999999,88,17,1,55,6,1,13,3,0
2005-05-16/2005-05-22,18,2005-05-16 00:00:00.000000000,2005-05-22 23:59:59.999999999,98,12,2,63,10,2,13,0,0
2005-05-23/2005-05-29,19,2005-05-23 00:00:00.000000000,2005-05-29 23:59:59.999999999,116,18,0,76,13,0,13,0,0
2005-05-30/2005-06-05,20,2005-05-30 00:00:00.000000000,2005-06-05 23:59:59.999999999,121,5,0,80,4,0,13,0,0
2005-06-06/2005-06-12,21,2005-06-06 00:00:00.000000000,2005-06-12 23:59:59.999999999,134,13,0,87,7,0,14,1,0
2005-06-13/2005-06-19,22,2005-06-13 00:00:00.000000000,2005-06-19 23:59:59.999999999,153,20,1,95,8,0,17,3,0
2005-06-20/2005-06-26,23,2005-06-20 00:00:00.000000000,2005-06-26 23:59:59.999999999,198,54,9,110,21,6,23,8,2
2005-06-27/2005-07-03,24,2005-06-27 00:00:00.000000000,2005-07-03 23:59:59.999999999,270,82,10,144,37,3,31,10,2
2005-07-04/2005-07-10,25,2005-07-04 00:00:00.000000000,2005-07-10 23:59:59.999999999,324,58,4,172,31,3,37,7,1
2005-07-11/2005-07-17,26,2005-07-11 00:00:00.000000000,2005-07-17 23:59:59.999999999,358,68,34,200,51,23,39,3,1
2005-07-18/2005-07-24,27,2005-07-18 00:00:00.000000000,2005-07-24 23:59:59.999999999,402,86,42,222,47,25,42,8,5
2005-07-25/2005-07-31,28,2005-07-25 00:00:00.000000000,2005-07-31 23:59:59.999999999,421,44,25,229,18,11,51,12,3
2005-08-01/2005-08-07,29,2005-08-01 00:00:00.000000000,2005-08-07 23:59:59.999999999,453,36,4,250,22,1,53,2,0
2005-08-08/2005-08-14,30,2005-08-08 00:00:00.000000000,2005-08-14 23:59:59.999999999,478,37,12,267,21,4,53,3,3
