,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2005-03-07/2005-03-13,0,2005-03-07 00:00:00.000000000,2005-03-13 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-03-14/2005-03-20,1,2005-03-14 00:00:00.000000000,2005-03-20 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-03-21/2005-03-27,2,2005-03-21 00:00:00.000000000,2005-03-27 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-03-28/2005-04-03,3,2005-03-28 00:00:00.000000000,2005-04-03 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-04-04/2005-04-10,4,2005-04-04 00:00:00.000000000,2005-04-10 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-04-11/2005-04-17,5,2005-04-11 00:00:00.000000000,2005-04-17 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-04-18/2005-04-24,6,2005-04-18 00:00:00.000000000,2005-04-24 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-04-25/2005-05-01,7,2005-04-25 00:00:00.000000000,2005-05-01 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-05-02/2005-05-08,8,2005-05-02 00:00:00.000000000,2005-05-08 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-05-09/2005-05-15,9,2005-05-09 00:00:00.000000000,2005-05-15 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-05-16/2005-05-22,10,2005-05-16 00:00:00.000000000,2005-05-22 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-05-23/2005-05-29,11,2005-05-23 00:00:00.000000000,2005-05-29 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-05-30/2005-06-05,12,2005-05-30 00:00:00.000000000,2005-06-05 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-06-06/2005-06-12,13,2005-06-06 00:00:00.000000000,2005-06-12 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-06-13/2005-06-19,14,2005-06-13 00:00:00.000000000,2005-06-19 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-06-20/2005-06-26,15,2005-06-20 00:00:00.000000000,2005-06-26 23:59:59.999999999,1,0,0,0,0,0,0,0,0
2005-06-27/2005-07-03,16,2005-06-27 00:00:00.000000000,2005-07-03 23:59:59.999999999,2,1,0,0,0,0,0,0,0
2005-07-04/2005-07-10,17,2005-07-04 00:00:00.000000000,2005-07-10 23:59:59.999999999,2,0,0,0,0,0,0,0,0
2005-07-11/2005-07-17,18,2005-07-11 00:00:00.000000000,2005-07-17 23:59:59.999999999,3,1,0,0,0,0,0,0,0
2005-07-18/2005-07-24,19,2005-07-18 00:00:00.000000000,2005-07-24 23:59:59.999999999,3,0,0,0,0,0,0,0,0
2005-07-25/2005-07-31,20,2005-07-25 00:00:00.000000000,2005-07-31 23:59:59.999999999,8,5,0,0,0,0,0,0,0
2005-08-01/2005-08-07,21,2005-08-01 00:00:00.000000000,2005-08-07 23:59:59.999999999,8,0,0,0,0,0,0,0,0
2005-08-08/2005-08-14,22,2005-08-08 00:00:00.000000000,2005-08-14 23:59:59.999999999,8,0,0,0,0,0,0,0,0
2005-08-15/2005-08-21,23,2005-08-15 00:00:00.000000000,2005-08-21 23:59:59.999999999,9,1,0,0,0,0,1,1,0
2005-08-22/2005-08-28,24,2005-08-22 00:00:00.000000000,2005-08-28 23:59:59.999999999,9,0,0,0,0,0,1,0,0
2005-08-29/2005-09-04,25,2005-08-29 00:00:00.000000000,2005-09-04 23:59:59.999999999,9,0,0,0,0,0,1,0,0
2005-09-05/2005-09-11,26,2005-09-05 00:00:00.000000000,2005-09-11 23:59:59.999999999,11,2,0,1,1,0,1,0,0
2005-09-12/2005-09-18,27,2005-09-12 00:00:00.000000000,2005-09-18 23:59:59.999999999,11,0,0,1,0,0,1,0,0
2005-09-19/2005-09-25,28,2005-09-19 00:00:00.000000000,2005-09-25 23:59:59.999999999,11,0,0,1,0,0,1,0,0
2005-09-26/2005-10-02,29,2005-09-26 00:00:00.000000000,2005-10-02 23:59:59.999999999,13,2,0,3,2,0,1,0,0
2005-10-03/2005-10-09,30,2005-10-03 00:00:00.000000000,2005-10-09 23:59:59.999999999,14,1,0,3,0,0,1,0,0
2005-10-10/2005-10-16,31,2005-10-10 00:00:00.000000000,2005-10-16 23:59:59.999999999,15,1,0,3,0,0,1,0,0
2005-10-17/2005-10-23,32,2005-10-17 00:00:00.000000000,2005-10-23 23:59:59.999999999,18,3,0,4,1,0,1,0,0
2005-10-24/2005-10-30,33,2005-10-24 00:00:00.000000000,2005-10-30 23:59:59.999999999,18,0,0,4,0,0,1,0,0
2005-10-31/2005-11-06,34,2005-10-31 00:00:00.000000000,2005-11-06 23:59:59.999999999,25,7,0,5,1,0,1,0,0
2005-11-07/2005-11-13,35,2005-11-07 00:00:00.000000000,2005-11-13 23:59:59.999999999,27,2,0,7,2,0,1,0,0
2005-11-14/2005-11-20,36,2005-11-14 00:00:00.000000000,2005-11-20 23:59:59.999999999,32,5,0,9,2,0,1,0,0
2005-11-21/2005-11-27,37,2005-11-21 00:00:00.000000000,2005-11-27 23:59:59.999999999,36,4,0,12,3,0,1,0,0
2005-11-28/2005-12-04,38,2005-11-28 00:00:00.000000000,2005-12-04 23:59:59.999999999,39,4,1,14,3,1,1,0,0
2005-12-05/2005-12-11,39,2005-12-05 00:00:00.000000000,2005-12-11 23:59:59.999999999,44,8,3,18,5,1,1,0,0
2005-12-12/2005-12-18,40,2005-12-12 00:00:00.000000000,2005-12-18 23:59:59.999999999,44,0,0,18,0,0,1,0,0
2005-12-19/2005-12-25,41,2005-12-19 00:00:00.000000000,2005-12-25 23:59:59.999999999,56,12,0,26,8,0,1,0,0
2005-12-26/2006-01-01,42,2005-12-26 00:00:00.000000000,2006-01-01 23:59:59.999999999,57,1,0,26,0,0,1,0,0
2006-01-02/2006-01-08,43,2006-01-02 00:00:00.000000000,2006-01-08 23:59:59.999999999,64,7,0,30,4,0,3,2,0
2006-01-09/2006-01-15,44,2006-01-09 00:00:00.000000000,2006-01-15 23:59:59.999999999,67,3,0,32,2,0,3,0,0
2006-01-16/2006-01-22,45,2006-01-16 00:00:00.000000000,2006-01-22 23:59:59.999999999,75,8,0,38,6,0,3,0,0
2006-01-23/2006-01-29,46,2006-01-23 00:00:00.000000000,2006-01-29 23:59:59.999999999,80,5,0,41,3,0,4,1,0
2006-01-30/2006-02-05,47,2006-01-30 00:00:00.000000000,2006-02-05 23:59:59.999999999,84,5,1,43,3,1,4,0,0
2006-02-06/2006-02-12,48,2006-02-06 00:00:00.000000000,2006-02-12 23:59:59.999999999,94,10,0,52,9,0,4,0,0
2006-02-13/2006-02-19,49,2006-02-13 00:00:00.000000000,2006-02-19 23:59:59.999999999,106,12,0,63,11,0,4,0,0
2006-02-20/2006-02-26,50,2006-02-20 00:00:00.000000000,2006-02-26 23:59:59.999999999,114,9,1,67,5,1,4,0,0
2006-02-27/2006-03-05,51,2006-02-27 00:00:00.000000000,2006-03-05 23:59:59.999999999,127,13,0,77,10,0,6,2,0
2006-03-06/2006-03-12,52,2006-03-06 00:00:00.000000000,2006-03-12 23:59:59.999999999,162,38,3,101,27,3,13,7,0
2006-03-13/2006-03-19,53,2006-03-13 00:00:00.000000000,2006-03-19 23:59:59.999999999,185,26,3,111,11,1,19,6,0
2006-03-20/2006-03-26,54,2006-03-20 00:00:00.000000000,2006-03-26 23:59:59.999999999,161,12,36,93,5,23,17,2,4
2006-03-27/2006-04-02,55,2006-03-27 00:00:00.000000000,2006-04-02 23:59:59.999999999,170,14,5,95,6,4,18,2,1
2006-04-03/2006-04-09,56,2006-04-03 00:00:00.000000000,2006-04-09 23:59:59.999999999,181,20,9,101,14,8,20,2,0
2006-04-10/2006-04-16,57,2006-04-10 00:00:00.000000000,2006-04-16 23:59:59.999999999,157,6,30,93,3,11,16,1,5
2006-04-17/2006-04-23,58,2006-04-17 00:00:00.000000000,2006-04-23 23:59:59.999999999,167,18,8,96,10,7,17,1,0
2006-04-24/2006-04-30,59,2006-04-24 00:00:00.000000000,2006-04-30 23:59:59.999999999,176,10,1,104,8,0,18,1,0
2006-05-01/2006-05-07,60,2006-05-01 00:00:00.000000000,2006-05-07 23:59:59.999999999,185,10,1,109,6,1,18,0,0
2006-05-08/2006-05-14,61,2006-05-08 00:00:00.000000000,2006-05-14 23:59:59.999999999,213,32,4,121,13,1,28,12,2
2006-05-15/2006-05-21,62,2006-05-15 00:00:00.000000000,2006-05-21 23:59:59.999999999,216,4,1,124,3,0,27,0,1
2006-05-22/2006-05-28,63,2006-05-22 00:00:00.000000000,2006-05-28 23:59:59.999999999,227,11,0,131,7,0,29,2,0
2006-05-29/2006-06-04,64,2006-05-29 00:00:00.000000000,2006-06-04 23:59:59.999999999,231,10,6,131,5,5,31,3,1
2006-06-05/2006-06-11,65,2006-06-05 00:00:00.000000000,2006-06-11 23:59:59.999999999,218,10,23,127,6,10,27,0,4
2006-06-12/2006-06-18,66,2006-06-12 00:00:00.000000000,2006-06-18 23:59:59.999999999,206,3,15,125,1,3,19,0,8
2006-06-19/2006-06-25,67,2006-06-19 00:00:00.000000000,2006-06-25 23:59:59.999999999,203,3,6,121,0,4,21,2,0
2006-06-26/2006-07-02,68,2006-06-26 00:00:00.000000000,2006-07-02 23:59:59.999999999,204,2,1,121,1,1,22,1,0
2006-07-03/2006-07-09,69,2006-07-03 00:00:00.000000000,2006-07-09 23:59:59.999999999,205,2,1,122,1,0,22,1,1
2006-07-10/2006-07-16,70,2006-07-10 00:00:00.000000000,2006-07-16 23:59:59.999999999,210,6,1,124,3,1,22,0,0
2006-07-17/2006-07-23,71,2006-07-17 00:00:00.000000000,2006-07-23 23:59:59.999999999,213,5,2,124,1,1,21,0,1
2006-07-24/2006-07-30,72,2006-07-24 00:00:00.000000000,2006-07-30 23:59:59.999999999,235,23,1,129,6,1,23,2,0
2006-07-31/2006-08-06,73,2006-07-31 00:00:00.000000000,2006-08-06 23:59:59.999999999,233,3,5,130,2,1,21,0,2
2006-08-07/2006-08-13,74,2006-08-07 00:00:00.000000000,2006-08-13 23:59:59.999999999,245,14,2,137,8,1,21,1,1
2006-08-14/2006-08-20,75,2006-08-14 00:00:00.000000000,2006-08-20 23:59:59.999999999,248,9,6,134,3,6,22,1,0
2006-08-21/2006-08-27,76,2006-08-21 00:00:00.000000000,2006-08-27 23:59:59.999999999,250,4,2,135,2,1,22,0,0
2006-08-28/2006-09-03,77,2006-08-28 00:00:00.000000000,2006-09-03 23:59:59.999999999,254,6,2,138,4,1,22,1,1
2006-09-04/2006-09-10,78,2006-09-04 00:00:00.000000000,2006-09-10 23:59:59.999999999,255,1,0,138,0,0,23,1,0
2006-09-11/2006-09-17,79,2006-09-11 00:00:00.000000000,2006-09-17 23:59:59.999999999,256,2,1,138,0,0,24,1,0
2006-09-18/2006-09-24,80,2006-09-18 00:00:00.000000000,2006-09-24 23:59:59.999999999,269,14,1,146,9,1,25,1,0
2006-09-25/2006-10-01,81,2006-09-25 00:00:00.000000000,2006-10-01 23:59:59.999999999,274,5,0,148,2,0,25,0,0
2006-10-02/2006-10-08,82,2006-10-02 00:00:00.000000000,2006-10-08 23:59:59.999999999,277,4,1,149,1,0,25,0,0
2006-10-09/2006-10-15,83,2006-10-09 00:00:00.000000000,2006-10-15 23:59:59.999999999,281,6,2,153,5,1,25,0,0
2006-10-16/2006-10-22,84,2006-10-16 00:00:00.000000000,2006-10-22 23:59:59.999999999,289,11,3,158,7,2,25,0,0
2006-10-23/2006-10-29,85,2006-10-23 00:00:00.000000000,2006-10-29 23:59:59.999999999,311,47,25,189,42,11,21,1,5
2006-10-30/2006-11-05,86,2006-10-30 00:00:00.000000000,2006-11-05 23:59:59.999999999,310,7,8,185,2,6,23,3,1
2006-11-06/2006-11-12,87,2006-11-06 00:00:00.000000000,2006-11-12 23:59:59.999999999,321,12,1,193,9,1,23,0,0
