,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2001-10-15/2001-10-21,0,2001-10-15 00:00:00.000000000,2001-10-21 23:59:59.999999999,74,0,0,68,0,0,0,0,0
2001-10-22/2001-10-28,1,2001-10-22 00:00:00.000000000,2001-10-28 23:59:59.999999999,80,6,0,70,2,0,1,1,0
2001-10-29/2001-11-04,2,2001-10-29 00:00:00.000000000,2001-11-04 23:59:59.999999999,86,6,0,72,2,0,1,0,0
2001-11-05/2001-11-11,3,2001-11-05 00:00:00.000000000,2001-11-11 23:59:59.999999999,113,27,0,84,12,0,2,1,0
2001-11-12/2001-11-18,4,2001-11-12 00:00:00.000000000,2001-11-18 23:59:59.999999999,117,4,0,88,4,0,2,0,0
2001-11-19/2001-11-25,5,2001-11-19 00:00:00.000000000,2001-11-25 23:59:59.999999999,122,6,1,92,5,1,2,0,0
2001-11-26/2001-12-02,6,2001-11-26 00:00:00.000000000,2001-12-02 23:59:59.999999999,96,4,30,66,2,28,3,1,0
2001-12-03/2001-12-09,7,2001-12-03 00:00:00.000000000,2001-12-09 23:59:59.999999999,102,11,5,71,10,5,3,0,0
2001-12-10/2001-12-16,8,2001-12-10 00:00:00.000000000,2001-12-16 23:59:59.999999999,110,8,0,76,5,0,3,0,0
2001-12-17/2001-12-23,9,2001-12-17 00:00:00.000000000,2001-12-23 23:59:59.999999999,112,2,0,76,0,0,3,0,0
2001-12-24/2001-12-30,10,2001-12-24 00:00:00.000000000,2001-12-30 23:59:59.999999999,114,2,0,78,2,0,3,0,0
2001-12-31/2002-01-06,11,2001-12-31 00:00:00.000000000,2002-01-06 23:59:59.999999999,117,4,1,81,4,1,3,0,0
2002-01-07/2002-01-13,12,2002-01-07 00:00:00.000000000,2002-01-13 23:59:59.999999999,118,3,2,82,3,2,3,0,0
2002-01-14/2002-01-20,13,2002-01-14 00:00:00.000000000,2002-01-20 23:59:59.999999999,121,4,1,84,3,1,3,0,0
2002-01-21/2002-01-27,14,2002-01-21 00:00:00.000000000,2002-01-27 23:59:59.999999999,128,17,10,87,11,8,4,2,1
2002-01-28/2002-02-03,15,2002-01-28 00:00:00.000000000,2002-02-03 23:59:59.999999999,127,12,13,88,11,10,4,0,0
2002-02-04/2002-02-10,16,2002-02-04 00:00:00.000000000,2002-02-10 23:59:59.999999999,135,19,11,91,14,11,7,3,0
2002-02-11/2002-02-17,17,2002-02-11 00:00:00.000000000,2002-02-17 23:59:59.999999999,137,27,25,89,17,19,9,6,4
2002-02-18/2002-02-24,18,2002-02-18 00:00:00.000000000,2002-02-24 23:59:59.999999999,140,8,5,91,6,4,9,1,1
2002-02-25/2002-03-03,19,2002-02-25 00:00:00.000000000,2002-03-03 23:59:59.999999999,141,27,26,89,15,17,9,3,3
2002-03-04/2002-03-10,20,2002-03-04 00:00:00.000000000,2002-03-10 23:59:59.999999999,131,15,25,83,11,17,9,1,1
2002-03-11/2002-03-17,21,2002-03-11 00:00:00.000000000,2002-03-17 23:59:59.999999999,112,25,44,72,22,33,9,2,2
2002-03-18/2002-03-24,22,2002-03-18 00:00:00.000000000,2002-03-24 23:59:59.999999999,101,37,48,65,32,39,8,1,2
