"Method","Error_1","Improvement_1","Error_2","Improvement_2","Error_3","Improvement_3","Error_4","Improvement_4"
"1","arima_th:16",49.7241379310345,-40.8163265306122,80.1477832512315,NA,109.837438423645,NA,146.222772277228,NA
"2","arima_th:2",76.6796116504854,0,112.73786407767,NA,141.97572815534,NA,187.419512195122,NA
"3","arima_th:32",48.98,8.16326530612245,80.87,NA,108.71,NA,146.035175879397,NA
"4","arima_th:4",69.8975609756097,-55.1020408163265,104.429268292683,NA,133.50243902439,NA,179.004901960784,NA
"5","arima_th:64",45.4791666666667,-4.08163265306123,75.2135416666667,NA,100.40625,NA,139.041884816754,NA
"6","arima_th:8",51.6617647058824,2.04081632653061,82.2205882352941,NA,113.21568627451,NA,151.832512315271,NA
"7","arima_th:all",45.4271844660194,8.16326530612245,73.5825242718447,NA,96.873786407767,NA,128.082926829268,NA
"8","ericsson",46.6504854368932,6.12244897959183,NA,NA,NA,NA,NA,NA
"9","ets_th:16",48.4581280788177,-8.16326530612246,77.9802955665025,NA,103.48275862069,NA,103.940594059406,NA
"10","ets_th:2",54.504854368932,2.04081632653061,87.4757281553398,NA,114.703883495146,NA,115.068292682927,NA
"11","ets_th:32",47.2,8.16326530612245,79.58,NA,102.03,NA,102.346733668342,NA
"12","ets_th:4",53.1609756097561,-10.2040816326531,84.4341463414634,NA,114.492682926829,NA,114.916666666667,NA
"13","ets_th:64",45.3958333333333,-8.16326530612246,73.28125,NA,94.6666666666667,NA,94.9267015706806,NA
"14","ets_th:8",53.1617647058824,4.08163265306123,86.4558823529412,NA,116.745098039216,NA,116.512315270936,NA
"15","ets_th:all",44.0533980582524,10.2040816326531,71.5194174757282,NA,92.4126213592233,NA,92.6,NA
"16","naive",49.1067961165049,0,NA,NA,NA,NA,NA,NA
