,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-11-18/2002-11-24,0,2002-11-18 00:00:00.000000000,2002-11-24 23:59:59.999999999,11,7,2,10,4,0,0,0,0
2002-11-25/2002-12-01,1,2002-11-25 00:00:00.000000000,2002-12-01 23:59:59.999999999,11,0,0,10,0,0,0,0,0
2002-12-02/2002-12-08,2,2002-12-02 00:00:00.000000000,2002-12-08 23:59:59.999999999,14,4,1,11,2,1,0,0,0
2002-12-09/2002-12-15,3,2002-12-09 00:00:00.000000000,2002-12-15 23:59:59.999999999,15,1,0,11,0,0,0,0,0
2002-12-16/2002-12-22,4,2002-12-16 00:00:00.000000000,2002-12-22 23:59:59.999999999,16,2,1,13,2,0,0,0,0
2002-12-23/2002-12-29,5,2002-12-23 00:00:00.000000000,2002-12-29 23:59:59.999999999,15,0,1,12,0,1,0,0,0
2002-12-30/2003-01-05,6,2002-12-30 00:00:00.000000000,2003-01-05 23:59:59.999999999,18,4,1,13,2,1,0,0,0
2003-01-06/2003-01-12,7,2003-01-06 00:00:00.000000000,2003-01-12 23:59:59.999999999,15,0,3,10,0,3,0,0,0
2003-01-13/2003-01-19,8,2003-01-13 00:00:00.000000000,2003-01-19 23:59:59.999999999,15,1,1,10,0,0,0,0,0
2003-01-20/2003-01-26,9,2003-01-20 00:00:00.000000000,2003-01-26 23:59:59.999999999,16,1,0,11,1,0,0,0,0
2003-01-27/2003-02-02,10,2003-01-27 00:00:00.000000000,2003-02-02 23:59:59.999999999,16,0,0,11,0,0,0,0,0
2003-02-03/2003-02-09,11,2003-02-03 00:00:00.000000000,2003-02-09 23:59:59.999999999,16,1,1,11,1,1,0,0,0
2003-02-10/2003-02-16,12,2003-02-10 00:00:00.000000000,2003-02-16 23:59:59.999999999,18,2,0,12,1,0,0,0,0
2003-02-17/2003-02-23,13,2003-02-17 00:00:00.000000000,2003-02-23 23:59:59.999999999,16,0,2,12,0,0,0,0,0
2003-02-24/2003-03-02,14,2003-02-24 00:00:00.000000000,2003-03-02 23:59:59.999999999,16,3,3,11,1,2,0,0,0
2003-03-03/2003-03-09,15,2003-03-03 00:00:00.000000000,2003-03-09 23:59:59.999999999,16,3,3,10,2,3,0,0,0
2003-03-10/2003-03-16,16,2003-03-10 00:00:00.000000000,2003-03-16 23:59:59.999999999,16,1,1,10,0,0,0,0,0
2003-03-17/2003-03-23,17,2003-03-17 00:00:00.000000000,2003-03-23 23:59:59.999999999,17,2,1,10,1,1,0,0,0
2003-03-24/2003-03-30,18,2003-03-24 00:00:00.000000000,2003-03-30 23:59:59.999999999,16,1,2,9,0,1,0,0,0
2003-03-31/2003-04-06,19,2003-03-31 00:00:00.000000000,2003-04-06 23:59:59.999999999,16,1,1,9,1,1,0,0,0
