,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-11-11/2002-11-17,0,2002-11-11 00:00:00.000000000,2002-11-17 23:59:59.999999999,12,12,1,8,8,1,0,0,0
2002-11-18/2002-11-24,1,2002-11-18 00:00:00.000000000,2002-11-24 23:59:59.999999999,15,4,1,10,2,0,0,0,0
2002-11-25/2002-12-01,2,2002-11-25 00:00:00.000000000,2002-12-01 23:59:59.999999999,15,1,1,10,0,0,0,0,0
2002-12-02/2002-12-08,3,2002-12-02 00:00:00.000000000,2002-12-08 23:59:59.999999999,16,2,1,11,2,1,0,0,0
2002-12-09/2002-12-15,4,2002-12-09 00:00:00.000000000,2002-12-15 23:59:59.999999999,18,2,0,13,2,0,0,0,0
2002-12-16/2002-12-22,5,2002-12-16 00:00:00.000000000,2002-12-22 23:59:59.999999999,20,2,0,15,2,0,0,0,0
2002-12-23/2002-12-29,6,2002-12-23 00:00:00.000000000,2002-12-29 23:59:59.999999999,20,0,0,15,0,0,0,0,0
2002-12-30/2003-01-05,7,2002-12-30 00:00:00.000000000,2003-01-05 23:59:59.999999999,18,2,4,16,2,1,0,0,0
2003-01-06/2003-01-12,8,2003-01-06 00:00:00.000000000,2003-01-12 23:59:59.999999999,18,1,1,16,1,1,0,0,0
2003-01-13/2003-01-19,9,2003-01-13 00:00:00.000000000,2003-01-19 23:59:59.999999999,17,0,1,15,0,1,0,0,0
2003-01-20/2003-01-26,10,2003-01-20 00:00:00.000000000,2003-01-26 23:59:59.999999999,20,3,0,16,1,0,0,0,0
2003-01-27/2003-02-02,11,2003-01-27 00:00:00.000000000,2003-02-02 23:59:59.999999999,21,1,0,17,1,0,0,0,0
2003-02-03/2003-02-09,12,2003-02-03 00:00:00.000000000,2003-02-09 23:59:59.999999999,23,3,1,19,3,1,0,0,0
2003-02-10/2003-02-16,13,2003-02-10 00:00:00.000000000,2003-02-16 23:59:59.999999999,25,3,1,19,1,1,0,0,0
2003-02-17/2003-02-23,14,2003-02-17 00:00:00.000000000,2003-02-23 23:59:59.999999999,25,3,3,19,3,3,0,0,0
2003-02-24/2003-03-02,15,2003-02-24 00:00:00.000000000,2003-03-02 23:59:59.999999999,25,0,0,19,0,0,0,0,0
2003-03-03/2003-03-09,16,2003-03-03 00:00:00.000000000,2003-03-09 23:59:59.999999999,26,2,1,20,2,1,0,0,0
2003-03-10/2003-03-16,17,2003-03-10 00:00:00.000000000,2003-03-16 23:59:59.999999999,26,0,0,20,0,0,0,0,0
2003-03-17/2003-03-23,18,2003-03-17 00:00:00.000000000,2003-03-23 23:59:59.999999999,28,2,0,21,1,0,0,0,0
2003-03-24/2003-03-30,19,2003-03-24 00:00:00.000000000,2003-03-30 23:59:59.999999999,30,2,0,22,1,0,0,0,0
2003-03-31/2003-04-06,20,2003-03-31 00:00:00.000000000,2003-04-06 23:59:59.999999999,31,2,1,23,2,1,0,0,0
2003-04-07/2003-04-13,21,2003-04-07 00:00:00.000000000,2003-04-13 23:59:59.999999999,34,3,0,26,3,0,0,0,0
2003-04-14/2003-04-20,22,2003-04-14 00:00:00.000000000,2003-04-20 23:59:59.999999999,36,2,0,27,1,0,0,0,0
2003-04-21/2003-04-27,23,2003-04-21 00:00:00.000000000,2003-04-27 23:59:59.999999999,40,7,3,29,5,3,0,0,0
2003-04-28/2003-05-04,24,2003-04-28 00:00:00.000000000,2003-05-04 23:59:59.999999999,41,1,0,29,0,0,0,0,0
2003-05-05/2003-05-11,25,2003-05-05 00:00:00.000000000,2003-05-11 23:59:59.999999999,41,1,1,29,1,1,0,0,0
2003-05-12/2003-05-18,26,2003-05-12 00:00:00.000000000,2003-05-18 23:59:59.999999999,40,1,2,27,0,2,0,0,0
2003-05-19/2003-05-25,27,2003-05-19 00:00:00.000000000,2003-05-25 23:59:59.999999999,42,2,0,28,1,0,0,0,0
2003-05-26/2003-06-01,28,2003-05-26 00:00:00.000000000,2003-06-01 23:59:59.999999999,41,2,3,28,0,0,0,0,0
2003-06-02/2003-06-08,29,2003-06-02 00:00:00.000000000,2003-06-08 23:59:59.999999999,40,1,2,27,1,2,0,0,0
2003-06-09/2003-06-15,30,2003-06-09 00:00:00.000000000,2003-06-15 23:59:59.999999999,37,2,5,25,1,3,0,0,0
2003-06-16/2003-06-22,31,2003-06-16 00:00:00.000000000,2003-06-22 23:59:59.999999999,38,3,2,26,2,1,0,0,0
2003-06-23/2003-06-29,32,2003-06-23 00:00:00.000000000,2003-06-29 23:59:59.999999999,38,0,0,26,0,0,0,0,0
2003-06-30/2003-07-06,33,2003-06-30 00:00:00.000000000,2003-07-06 23:59:59.999999999,39,1,0,27,1,0,0,0,0
2003-07-07/2003-07-13,34,2003-07-07 00:00:00.000000000,2003-07-13 23:59:59.999999999,40,3,2,27,1,1,0,0,0
2003-07-14/2003-07-20,35,2003-07-14 00:00:00.000000000,2003-07-20 23:59:59.999999999,45,9,4,31,6,2,0,0,0
2003-07-21/2003-07-27,36,2003-07-21 00:00:00.000000000,2003-07-27 23:59:59.999999999,46,2,1,33,2,0,0,0,0
2003-07-28/2003-08-03,37,2003-07-28 00:00:00.000000000,2003-08-03 23:59:59.999999999,54,11,3,40,8,1,0,0,0
2003-08-04/2003-08-10,38,2003-08-04 00:00:00.000000000,2003-08-10 23:59:59.999999999,59,6,1,43,4,1,0,0,0
2003-08-11/2003-08-17,39,2003-08-11 00:00:00.000000000,2003-08-17 23:59:59.999999999,61,2,0,44,1,0,0,0,0
2003-08-18/2003-08-24,40,2003-08-18 00:00:00.000000000,2003-08-24 23:59:59.999999999,61,2,2,44,0,0,0,0,0
2003-08-25/2003-08-31,41,2003-08-25 00:00:00.000000000,2003-08-31 23:59:59.999999999,60,1,2,43,0,1,0,0,0
2003-09-01/2003-09-07,42,2003-09-01 00:00:00.000000000,2003-09-07 23:59:59.999999999,58,0,2,43,0,0,0,0,0
2003-09-08/2003-09-14,43,2003-09-08 00:00:00.000000000,2003-09-14 23:59:59.999999999,62,5,1,44,2,1,0,0,0
2003-09-15/2003-09-21,44,2003-09-15 00:00:00.000000000,2003-09-21 23:59:59.999999999,63,2,1,44,1,1,0,0,0
2003-09-22/2003-09-28,45,2003-09-22 00:00:00.000000000,2003-09-28 23:59:59.999999999,66,4,1,45,2,1,0,0,0
2003-09-29/2003-10-05,46,2003-09-29 00:00:00.000000000,2003-10-05 23:59:59.999999999,65,1,2,45,0,0,0,0,0
2003-10-06/2003-10-12,47,2003-10-06 00:00:00.000000000,2003-10-12 23:59:59.999999999,66,1,0,46,1,0,0,0,0
2003-10-13/2003-10-19,48,2003-10-13 00:00:00.000000000,2003-10-19 23:59:59.999999999,68,3,1,48,3,1,0,0,0
2003-10-20/2003-10-26,49,2003-10-20 00:00:00.000000000,2003-10-26 23:59:59.999999999,71,4,1,50,3,1,0,0,0
2003-10-27/2003-11-02,50,2003-10-27 00:00:00.000000000,2003-11-02 23:59:59.999999999,75,6,2,51,2,1,0,0,0
2003-11-03/2003-11-09,51,2003-11-03 00:00:00.000000000,2003-11-09 23:59:59.999999999,74,1,2,50,0,1,0,0,0
2003-11-10/2003-11-16,52,2003-11-10 00:00:00.000000000,2003-11-16 23:59:59.999999999,73,2,3,49,1,2,0,0,0
2003-11-17/2003-11-23,53,2003-11-17 00:00:00.000000000,2003-11-23 23:59:59.999999999,76,4,1,51,3,1,0,0,0
2003-11-24/2003-11-30,54,2003-11-24 00:00:00.000000000,2003-11-30 23:59:59.999999999,76,2,2,50,1,2,0,0,0
2003-12-01/2003-12-07,55,2003-12-01 00:00:00.000000000,2003-12-07 23:59:59.999999999,76,1,1,50,1,1,0,0,0
2003-12-08/2003-12-14,56,2003-12-08 00:00:00.000000000,2003-12-14 23:59:59.999999999,78,3,1,51,2,1,0,0,0
2003-12-15/2003-12-21,57,2003-12-15 00:00:00.000000000,2003-12-21 23:59:59.999999999,78,4,4,52,2,1,0,0,0
2003-12-22/2003-12-28,58,2003-12-22 00:00:00.000000000,2003-12-28 23:59:59.999999999,81,3,0,55,3,0,0,0,0
2003-12-29/2004-01-04,59,2003-12-29 00:00:00.000000000,2004-01-04 23:59:59.999999999,82,1,0,56,1,0,0,0,0
2004-01-05/2004-01-11,60,2004-01-05 00:00:00.000000000,2004-01-11 23:59:59.999999999,86,4,0,58,2,0,0,0,0
2004-01-12/2004-01-18,61,2004-01-12 00:00:00.000000000,2004-01-18 23:59:59.999999999,87,8,7,59,4,3,0,0,0
2004-01-19/2004-01-25,62,2004-01-19 00:00:00.000000000,2004-01-25 23:59:59.999999999,92,5,0,62,3,0,0,0,0
2004-01-26/2004-02-01,63,2004-01-26 00:00:00.000000000,2004-02-01 23:59:59.999999999,92,1,1,62,1,1,0,0,0
2004-02-02/2004-02-08,64,2004-02-02 00:00:00.000000000,2004-02-08 23:59:59.999999999,97,8,3,67,7,2,0,0,0
2004-02-09/2004-02-15,65,2004-02-09 00:00:00.000000000,2004-02-15 23:59:59.999999999,104,8,1,72,5,0,0,0,0
2004-02-16/2004-02-22,66,2004-02-16 00:00:00.000000000,2004-02-22 23:59:59.999999999,109,7,2,76,4,0,0,0,0
2004-02-23/2004-02-29,67,2004-02-23 00:00:00.000000000,2004-02-29 23:59:59.999999999,115,7,1,81,6,1,0,0,0
2004-03-01/2004-03-07,68,2004-03-01 00:00:00.000000000,2004-03-07 23:59:59.999999999,117,5,3,82,4,3,0,0,0
2004-03-08/2004-03-14,69,2004-03-08 00:00:00.000000000,2004-03-14 23:59:59.999999999,118,4,3,83,2,1,0,0,0
2004-03-15/2004-03-21,70,2004-03-15 00:00:00.000000000,2004-03-21 23:59:59.999999999,118,1,1,83,1,1,0,0,0
2004-03-22/2004-03-28,71,2004-03-22 00:00:00.000000000,2004-03-28 23:59:59.999999999,120,7,5,83,4,4,0,0,0
2004-03-29/2004-04-04,72,2004-03-29 00:00:00.000000000,2004-04-04 23:59:59.999999999,124,6,2,85,2,0,0,0,0
2004-04-05/2004-04-11,73,2004-04-05 00:00:00.000000000,2004-04-11 23:59:59.999999999,124,4,4,86,3,2,0,0,0
2004-04-12/2004-04-18,74,2004-04-12 00:00:00.000000000,2004-04-18 23:59:59.999999999,127,3,0,86,0,0,0,0,0
2004-04-19/2004-04-25,75,2004-04-19 00:00:00.000000000,2004-04-25 23:59:59.999999999,124,5,8,82,2,6,0,0,0
