,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2002-11-18/2002-11-24,0,2002-11-18 00:00:00.000000000,2002-11-24 23:59:59.999999999,9,4,0,7,3,0,0,0,0
2002-11-25/2002-12-01,1,2002-11-25 00:00:00.000000000,2002-12-01 23:59:59.999999999,9,0,0,7,0,0,0,0,0
2002-12-02/2002-12-08,2,2002-12-02 00:00:00.000000000,2002-12-08 23:59:59.999999999,9,1,1,7,1,1,0,0,0
2002-12-09/2002-12-15,3,2002-12-09 00:00:00.000000000,2002-12-15 23:59:59.999999999,10,1,0,8,1,0,0,0,0
2002-12-16/2002-12-22,4,2002-12-16 00:00:00.000000000,2002-12-22 23:59:59.999999999,10,0,0,8,0,0,0,0,0
2002-12-23/2002-12-29,5,2002-12-23 00:00:00.000000000,2002-12-29 23:59:59.999999999,10,0,0,8,0,0,0,0,0
2002-12-30/2003-01-05,6,2002-12-30 00:00:00.000000000,2003-01-05 23:59:59.999999999,10,0,0,8,0,0,0,0,0
2003-01-06/2003-01-12,7,2003-01-06 00:00:00.000000000,2003-01-12 23:59:59.999999999,10,0,0,8,0,0,0,0,0
2003-01-13/2003-01-19,8,2003-01-13 00:00:00.000000000,2003-01-19 23:59:59.999999999,11,1,0,9,1,0,0,0,0
2003-01-20/2003-01-26,9,2003-01-20 00:00:00.000000000,2003-01-26 23:59:59.999999999,11,0,0,9,0,0,0,0,0
2003-01-27/2003-02-02,10,2003-01-27 00:00:00.000000000,2003-02-02 23:59:59.999999999,11,0,0,9,0,0,0,0,0
2003-02-03/2003-02-09,11,2003-02-03 00:00:00.000000000,2003-02-09 23:59:59.999999999,12,2,1,9,1,1,0,0,0
2003-02-10/2003-02-16,12,2003-02-10 00:00:00.000000000,2003-02-16 23:59:59.999999999,12,0,0,9,0,0,0,0,0
2003-02-17/2003-02-23,13,2003-02-17 00:00:00.000000000,2003-02-23 23:59:59.999999999,11,0,1,8,0,1,0,0,0
2003-02-24/2003-03-02,14,2003-02-24 00:00:00.000000000,2003-03-02 23:59:59.999999999,12,1,0,9,1,0,0,0,0
2003-03-03/2003-03-09,15,2003-03-03 00:00:00.000000000,2003-03-09 23:59:59.999999999,14,2,0,10,1,0,0,0,0
2003-03-10/2003-03-16,16,2003-03-10 00:00:00.000000000,2003-03-16 23:59:59.999999999,15,1,0,11,1,0,0,0,0
2003-03-17/2003-03-23,17,2003-03-17 00:00:00.000000000,2003-03-23 23:59:59.999999999,19,5,1,14,3,0,0,0,0
2003-03-24/2003-03-30,18,2003-03-24 00:00:00.000000000,2003-03-30 23:59:59.999999999,20,2,1,15,2,1,0,0,0
2003-03-31/2003-04-06,19,2003-03-31 00:00:00.000000000,2003-04-06 23:59:59.999999999,21,1,0,15,0,0,0,0,0
2003-04-07/2003-04-13,20,2003-04-07 00:00:00.000000000,2003-04-13 23:59:59.999999999,21,0,0,15,0,0,0,0,0
2003-04-14/2003-04-20,21,2003-04-14 00:00:00.000000000,2003-04-20 23:59:59.999999999,21,1,1,15,1,1,0,0,0
2003-04-21/2003-04-27,22,2003-04-21 00:00:00.000000000,2003-04-27 23:59:59.999999999,21,0,0,15,0,0,0,0,0
2003-04-28/2003-05-04,23,2003-04-28 00:00:00.000000000,2003-05-04 23:59:59.999999999,22,2,1,15,1,1,0,0,0
2003-05-05/2003-05-11,24,2003-05-05 00:00:00.000000000,2003-05-11 23:59:59.999999999,24,2,0,17,2,0,0,0,0
2003-05-12/2003-05-18,25,2003-05-12 00:00:00.000000000,2003-05-18 23:59:59.999999999,26,3,1,19,3,1,0,0,0
2003-05-19/2003-05-25,26,2003-05-19 00:00:00.000000000,2003-05-25 23:59:59.999999999,27,1,0,20,1,0,0,0,0
