,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2010-11-15/2010-11-21,0,2010-11-15 00:00:00.000000000,2010-11-21 23:59:59.999999999,3,1,0,3,1,0,0,0,0
2010-11-22/2010-11-28,1,2010-11-22 00:00:00.000000000,2010-11-28 23:59:59.999999999,4,1,0,4,1,0,0,0,0
2010-11-29/2010-12-05,2,2010-11-29 00:00:00.000000000,2010-12-05 23:59:59.999999999,4,0,0,4,0,0,0,0,0
2010-12-06/2010-12-12,3,2010-12-06 00:00:00.000000000,2010-12-12 23:59:59.999999999,6,2,0,4,0,0,0,0,0
2010-12-13/2010-12-19,4,2010-12-13 00:00:00.000000000,2010-12-19 23:59:59.999999999,7,1,0,5,1,0,0,0,0
2010-12-20/2010-12-26,5,2010-12-20 00:00:00.000000000,2010-12-26 23:59:59.999999999,7,0,0,5,0,0,0,0,0
2010-12-27/2011-01-02,6,2010-12-27 00:00:00.000000000,2011-01-02 23:59:59.999999999,7,0,0,5,0,0,0,0,0
2011-01-03/2011-01-09,7,2011-01-03 00:00:00.000000000,2011-01-09 23:59:59.999999999,7,0,0,5,0,0,0,0,0
2011-01-10/2011-01-16,8,2011-01-10 00:00:00.000000000,2011-01-16 23:59:59.999999999,10,3,0,7,2,0,0,0,0
2011-01-17/2011-01-23,9,2011-01-17 00:00:00.000000000,2011-01-23 23:59:59.999999999,10,0,0,7,0,0,0,0,0
2011-01-24/2011-01-30,10,2011-01-24 00:00:00.000000000,2011-01-30 23:59:59.999999999,16,8,2,9,4,2,2,2,0
2011-01-31/2011-02-06,11,2011-01-31 00:00:00.000000000,2011-02-06 23:59:59.999999999,18,2,0,11,2,0,2,0,0
2011-02-07/2011-02-13,12,2011-02-07 00:00:00.000000000,2011-02-13 23:59:59.999999999,21,3,0,14,3,0,2,0,0
2011-02-14/2011-02-20,13,2011-02-14 00:00:00.000000000,2011-02-20 23:59:59.999999999,25,5,1,17,4,1,2,0,0
2011-02-21/2011-02-27,14,2011-02-21 00:00:00.000000000,2011-02-27 23:59:59.999999999,34,9,0,22,5,0,2,0,0
2011-02-28/2011-03-06,15,2011-02-28 00:00:00.000000000,2011-03-06 23:59:59.999999999,40,6,0,25,3,0,3,1,0
2011-03-07/2011-03-13,16,2011-03-07 00:00:00.000000000,2011-03-13 23:59:59.999999999,42,2,0,27,2,0,3,0,0
2011-03-14/2011-03-20,17,2011-03-14 00:00:00.000000000,2011-03-20 23:59:59.999999999,45,3,0,28,1,0,4,1,0
2011-03-21/2011-03-27,18,2011-03-21 00:00:00.000000000,2011-03-27 23:59:59.999999999,48,3,0,29,1,0,5,1,0
2011-03-28/2011-04-03,19,2011-03-28 00:00:00.000000000,2011-04-03 23:59:59.999999999,52,5,1,31,2,0,5,1,1
2011-04-04/2011-04-10,20,2011-04-04 00:00:00.000000000,2011-04-10 23:59:59.999999999,56,4,0,34,3,0,6,1,0
2011-04-11/2011-04-17,21,2011-04-11 00:00:00.000000000,2011-04-17 23:59:59.999999999,59,3,0,37,3,0,6,0,0
2011-04-18/2011-04-24,22,2011-04-18 00:00:00.000000000,2011-04-24 23:59:59.999999999,61,2,0,39,2,0,6,0,0
2011-04-25/2011-05-01,23,2011-04-25 00:00:00.000000000,2011-05-01 23:59:59.999999999,62,1,0,40,1,0,6,0,0
2011-05-02/2011-05-08,24,2011-05-02 00:00:00.000000000,2011-05-08 23:59:59.999999999,63,1,0,40,0,0,6,0,0
2011-05-09/2011-05-15,25,2011-05-09 00:00:00.000000000,2011-05-15 23:59:59.999999999,69,6,0,42,2,0,6,0,0
2011-05-16/2011-05-22,26,2011-05-16 00:00:00.000000000,2011-05-22 23:59:59.999999999,69,1,1,41,0,1,6,0,0
2011-05-23/2011-05-29,27,2011-05-23 00:00:00.000000000,2011-05-29 23:59:59.999999999,75,7,1,44,4,1,6,0,0
2011-05-30/2011-06-05,28,2011-05-30 00:00:00.000000000,2011-06-05 23:59:59.999999999,80,5,0,47,3,0,6,0,0
