,number,from_date,to_date,backlog_all,inflow_all,outflow_all,backlog_normal,inflow_normal,outflow_normal,backlog_major,inflow_major,outflow_major
2010-10-04/2010-10-10,0,2010-10-04 00:00:00.000000000,2010-10-10 23:59:59.999999999,6,4,0,3,1,0,2,2,0
2010-10-11/2010-10-17,1,2010-10-11 00:00:00.000000000,2010-10-17 23:59:59.999999999,17,11,0,7,4,0,4,2,0
2010-10-18/2010-10-24,2,2010-10-18 00:00:00.000000000,2010-10-24 23:59:59.999999999,22,5,0,9,2,0,5,1,0
2010-10-25/2010-10-31,3,2010-10-25 00:00:00.000000000,2010-10-31 23:59:59.999999999,32,10,0,13,4,0,6,1,0
2010-11-01/2010-11-07,4,2010-11-01 00:00:00.000000000,2010-11-07 23:59:59.999999999,44,12,0,19,6,0,10,4,0
2010-11-08/2010-11-14,5,2010-11-08 00:00:00.000000000,2010-11-14 23:59:59.999999999,52,8,0,23,4,0,10,0,0
2010-11-15/2010-11-21,6,2010-11-15 00:00:00.000000000,2010-11-21 23:59:59.999999999,59,7,0,28,5,0,11,1,0
2010-11-22/2010-11-28,7,2010-11-22 00:00:00.000000000,2010-11-28 23:59:59.999999999,62,3,0,28,0,0,13,2,0
2010-11-29/2010-12-05,8,2010-11-29 00:00:00.000000000,2010-12-05 23:59:59.999999999,67,5,0,30,2,0,14,1,0
2010-12-06/2010-12-12,9,2010-12-06 00:00:00.000000000,2010-12-12 23:59:59.999999999,86,21,2,38,10,2,18,4,0
2010-12-13/2010-12-19,10,2010-12-13 00:00:00.000000000,2010-12-19 23:59:59.999999999,102,17,1,44,7,1,19,1,0
2010-12-20/2010-12-26,11,2010-12-20 00:00:00.000000000,2010-12-26 23:59:59.999999999,110,8,0,49,5,0,21,2,0
2010-12-27/2011-01-02,12,2010-12-27 00:00:00.000000000,2011-01-02 23:59:59.999999999,125,17,2,56,8,1,25,4,0
2011-01-03/2011-01-09,13,2011-01-03 00:00:00.000000000,2011-01-09 23:59:59.999999999,138,16,3,63,7,0,23,0,2
2011-01-10/2011-01-16,14,2011-01-10 00:00:00.000000000,2011-01-16 23:59:59.999999999,154,22,6,70,11,4,25,3,1
2011-01-17/2011-01-23,15,2011-01-17 00:00:00.000000000,2011-01-23 23:59:59.999999999,168,20,6,75,9,4,25,1,1
2011-01-24/2011-01-30,16,2011-01-24 00:00:00.000000000,2011-01-30 23:59:59.999999999,210,46,4,101,29,3,31,6,0
2011-01-31/2011-02-06,17,2011-01-31 00:00:00.000000000,2011-02-06 23:59:59.999999999,234,34,10,114,20,7,40,10,1
2011-02-07/2011-02-13,18,2011-02-07 00:00:00.000000000,2011-02-13 23:59:59.999999999,263,36,7,130,20,4,44,4,0
2011-02-14/2011-02-20,19,2011-02-14 00:00:00.000000000,2011-02-20 23:59:59.999999999,309,52,6,153,25,2,50,9,3
2011-02-21/2011-02-27,20,2011-02-21 00:00:00.000000000,2011-02-27 23:59:59.999999999,351,52,10,174,28,7,54,5,1
2011-02-28/2011-03-06,21,2011-02-28 00:00:00.000000000,2011-03-06 23:59:59.999999999,377,36,10,184,12,2,58,5,1
2011-03-07/2011-03-13,22,2011-03-07 00:00:00.000000000,2011-03-13 23:59:59.999999999,397,30,10,197,16,3,57,3,4
2011-03-14/2011-03-20,23,2011-03-14 00:00:00.000000000,2011-03-20 23:59:59.999999999,422,27,2,208,12,1,60,3,0
2011-03-21/2011-03-27,24,2011-03-21 00:00:00.000000000,2011-03-27 23:59:59.999999999,443,28,7,221,16,3,64,4,0
2011-03-28/2011-04-03,25,2011-03-28 00:00:00.000000000,2011-04-03 23:59:59.999999999,473,32,2,238,18,1,68,4,0
2011-04-04/2011-04-10,26,2011-04-04 00:00:00.000000000,2011-04-10 23:59:59.999999999,505,33,1,248,11,1,76,8,0
2011-04-11/2011-04-17,27,2011-04-11 00:00:00.000000000,2011-04-17 23:59:59.999999999,522,19,2,253,7,2,76,0,0
2011-04-18/2011-04-24,28,2011-04-18 00:00:00.000000000,2011-04-24 23:59:59.999999999,554,40,8,269,24,8,82,6,0
2011-04-25/2011-05-01,29,2011-04-25 00:00:00.000000000,2011-05-01 23:59:59.999999999,591,39,2,280,13,2,88,6,0
2011-05-02/2011-05-08,30,2011-05-02 00:00:00.000000000,2011-05-08 23:59:59.999999999,614,40,17,291,20,9,92,9,5
2011-05-09/2011-05-15,31,2011-05-09 00:00:00.000000000,2011-05-15 23:59:59.999999999,654,51,11,308,20,3,102,13,3
2011-05-16/2011-05-22,32,2011-05-16 00:00:00.000000000,2011-05-22 23:59:59.999999999,669,30,15,315,13,6,106,4,0
2011-05-23/2011-05-29,33,2011-05-23 00:00:00.000000000,2011-05-29 23:59:59.999999999,714,52,7,330,17,2,112,8,2
2011-05-30/2011-06-05,34,2011-05-30 00:00:00.000000000,2011-06-05 23:59:59.999999999,757,44,1,350,20,0,119,7,0
2011-06-06/2011-06-12,35,2011-06-06 00:00:00.000000000,2011-06-12 23:59:59.999999999,790,45,12,364,21,7,125,8,2
2011-06-13/2011-06-19,36,2011-06-13 00:00:00.000000000,2011-06-19 23:59:59.999999999,828,48,10,378,20,6,132,8,1
2011-06-20/2011-06-26,37,2011-06-20 00:00:00.000000000,2011-06-26 23:59:59.999999999,861,41,8,396,21,3,137,6,1
2011-06-27/2011-07-03,38,2011-06-27 00:00:00.000000000,2011-07-03 23:59:59.999999999,885,33,9,407,14,3,142,8,3
2011-07-04/2011-07-10,39,2011-07-04 00:00:00.000000000,2011-07-10 23:59:59.999999999,911,34,8,423,21,5,147,5,0
2011-07-11/2011-07-17,40,2011-07-11 00:00:00.000000000,2011-07-17 23:59:59.999999999,925,22,8,430,12,5,151,4,0
2011-07-18/2011-07-24,41,2011-07-18 00:00:00.000000000,2011-07-24 23:59:59.999999999,951,35,9,444,21,7,155,6,2
2011-07-25/2011-07-31,42,2011-07-25 00:00:00.000000000,2011-07-31 23:59:59.999999999,965,17,3,453,11,2,155,1,1
2011-08-01/2011-08-07,43,2011-08-01 00:00:00.000000000,2011-08-07 23:59:59.999999999,992,33,6,470,18,1,156,5,4
2011-08-08/2011-08-14,44,2011-08-08 00:00:00.000000000,2011-08-14 23:59:59.999999999,1008,22,6,474,8,4,161,6,1
2011-08-15/2011-08-21,45,2011-08-15 00:00:00.000000000,2011-08-21 23:59:59.999999999,1035,35,8,486,15,3,165,5,1
2011-08-22/2011-08-28,46,2011-08-22 00:00:00.000000000,2011-08-28 23:59:59.999999999,1045,17,7,490,7,3,165,3,3
2011-08-29/2011-09-04,47,2011-08-29 00:00:00.000000000,2011-09-04 23:59:59.999999999,1066,32,11,497,11,4,172,10,3
2011-09-05/2011-09-11,48,2011-09-05 00:00:00.000000000,2011-09-11 23:59:59.999999999,1080,19,5,510,15,2,171,1,2
2011-09-12/2011-09-18,49,2011-09-12 00:00:00.000000000,2011-09-18 23:59:59.999999999,1113,33,0,532,22,0,176,5,0
2011-09-19/2011-09-25,50,2011-09-19 00:00:00.000000000,2011-09-25 23:59:59.999999999,1131,28,10,543,17,6,178,6,4
2011-09-26/2011-10-02,51,2011-09-26 00:00:00.000000000,2011-10-02 23:59:59.999999999,1157,31,5,560,19,2,183,7,2
2011-10-03/2011-10-09,52,2011-10-03 00:00:00.000000000,2011-10-09 23:59:59.999999999,1184,32,5,576,19,3,189,7,1
2011-10-10/2011-10-16,53,2011-10-10 00:00:00.000000000,2011-10-16 23:59:59.999999999,1224,41,1,604,29,1,194,5,0
2011-10-17/2011-10-23,54,2011-10-17 00:00:00.000000000,2011-10-23 23:59:59.999999999,1250,34,8,616,19,7,202,9,1
2011-10-24/2011-10-30,55,2011-10-24 00:00:00.000000000,2011-10-30 23:59:59.999999999,1269,34,15,632,19,3,205,6,3
2011-10-31/2011-11-06,56,2011-10-31 00:00:00.000000000,2011-11-06 23:59:59.999999999,1305,41,5,654,26,4,210,5,0
2011-11-07/2011-11-13,57,2011-11-07 00:00:00.000000000,2011-11-13 23:59:59.999999999,1348,52,9,686,36,4,215,7,2
2011-11-14/2011-11-20,58,2011-11-14 00:00:00.000000000,2011-11-20 23:59:59.999999999,1373,28,3,702,18,2,217,2,0
2011-11-21/2011-11-27,59,2011-11-21 00:00:00.000000000,2011-11-27 23:59:59.999999999,1396,27,4,714,15,3,224,7,0
2011-11-28/2011-12-04,60,2011-11-28 00:00:00.000000000,2011-12-04 23:59:59.999999999,1418,36,14,723,14,5,226,9,7
2011-12-05/2011-12-11,61,2011-12-05 00:00:00.000000000,2011-12-11 23:59:59.999999999,1444,33,7,737,17,3,232,9,3
2011-12-12/2011-12-18,62,2011-12-12 00:00:00.000000000,2011-12-18 23:59:59.999999999,1469,39,14,750,24,11,236,5,1
