"number","from_date","to_date","backlog_all","inflow_all","outflow_all","backlog_normal","backlog_major","inflow_normal","inflow_major","outflow_normal","outflow_major"
"1",0,"1997-03-28","1997-04-03",1,1,0,0,1,0,1,0,0
"2",1,"1997-04-04","1997-04-10",3,2,0,2,1,2,0,0,0
"3",2,"1997-04-11","1997-04-17",3,0,0,2,1,0,0,0,0
"4",3,"1997-04-18","1997-04-24",4,1,0,3,1,1,0,0,0
"5",4,"1997-04-25","1997-05-01",5,1,0,4,1,1,0,0,0
"6",5,"1997-05-02","1997-05-08",6,1,0,5,1,1,0,0,0
"7",6,"1997-05-09","1997-05-15",6,0,0,5,1,0,0,0,0
"8",7,"1997-05-16","1997-05-22",6,0,0,5,1,0,0,0,0
"9",8,"1997-05-23","1997-05-29",6,0,0,5,1,0,0,0,0
"10",9,"1997-05-30","1997-06-05",7,1,0,5,1,0,0,0,0
"11",10,"1997-06-06","1997-06-12",8,1,0,5,2,0,1,0,0
"12",11,"1997-06-13","1997-06-19",8,0,0,5,2,0,0,0,0
"13",12,"1997-06-20","1997-06-26",8,0,0,5,2,0,0,0,0
"14",13,"1997-06-27","1997-07-03",8,0,0,5,2,0,0,0,0
"15",14,"1997-07-04","1997-07-10",8,0,0,5,2,0,0,0,0
"16",15,"1997-07-11","1997-07-17",8,0,0,5,2,0,0,0,0
"17",16,"1997-07-18","1997-07-24",8,0,0,5,2,0,0,0,0
"18",17,"1997-07-25","1997-07-31",8,0,0,5,2,0,0,0,0
"19",18,"1997-08-01","1997-08-07",8,0,0,5,2,0,0,0,0
"20",19,"1997-08-08","1997-08-14",8,0,0,5,2,0,0,0,0
"21",20,"1997-08-15","1997-08-21",9,1,0,6,2,1,0,0,0
"22",21,"1997-08-22","1997-08-28",9,0,0,6,2,0,0,0,0
"23",22,"1997-08-29","1997-09-04",9,0,0,6,2,0,0,0,0
"24",23,"1997-09-05","1997-09-11",10,1,0,7,2,1,0,0,0
"25",24,"1997-09-12","1997-09-18",11,1,0,7,3,0,1,0,0
"26",25,"1997-09-19","1997-09-25",12,1,0,7,4,0,1,0,0
"27",26,"1997-09-26","1997-10-02",12,0,0,7,4,0,0,0,0
"28",27,"1997-10-03","1997-10-09",12,0,0,7,4,0,0,0,0
"29",28,"1997-10-10","1997-10-16",12,0,0,7,4,0,0,0,0
"30",29,"1997-10-17","1997-10-23",12,0,0,7,4,0,0,0,0
"31",30,"1997-10-24","1997-10-30",13,1,0,7,5,0,1,0,0
"32",31,"1997-10-31","1997-11-06",14,1,0,7,6,0,1,0,0
"33",32,"1997-11-07","1997-11-13",14,0,0,7,6,0,0,0,0
"34",33,"1997-11-14","1997-11-20",15,1,0,7,7,0,1,0,0
"35",34,"1997-11-21","1997-11-27",15,0,0,7,7,0,0,0,0
"36",35,"1997-11-28","1997-12-04",15,0,0,7,7,0,0,0,0
"37",36,"1997-12-05","1997-12-11",15,0,0,7,7,0,0,0,0
"38",37,"1997-12-12","1997-12-18",16,1,0,8,7,1,0,0,0
"39",38,"1997-12-19","1997-12-25",17,1,0,9,7,1,0,0,0
