"number","from_date","to_date","backlog_all","inflow_all","outflow_all","backlog_normal","backlog_major","inflow_normal","inflow_major","outflow_normal","outflow_major"
"1",0,"2000-01-02","2000-01-08",1,1,0,0,0,0,0,0,0
"2",1,"2000-01-09","2000-01-15",1,0,0,0,0,0,0,0,0
"3",2,"2000-01-16","2000-01-22",1,0,0,0,0,0,0,0,0
"4",3,"2000-01-23","2000-01-29",1,0,0,0,0,0,0,0,0
"5",4,"2000-01-30","2000-02-05",1,0,0,0,0,0,0,0,0
"6",5,"2000-02-06","2000-02-12",1,0,0,0,0,0,0,0,0
"7",6,"2000-02-13","2000-02-19",1,0,0,0,0,0,0,0,0
"8",7,"2000-02-20","2000-02-26",1,0,0,0,0,0,0,0,0
"9",8,"2000-02-27","2000-03-04",1,0,0,0,0,0,0,0,0
"10",9,"2000-03-05","2000-03-11",1,0,0,0,0,0,0,0,0
"11",10,"2000-03-12","2000-03-18",1,0,0,0,0,0,0,0,0
"12",11,"2000-03-19","2000-03-25",1,0,0,0,0,0,0,0,0
"13",12,"2000-03-26","2000-04-01",2,1,0,0,0,0,0,0,0
"14",13,"2000-04-02","2000-04-08",2,0,0,0,0,0,0,0,0
"15",14,"2000-04-09","2000-04-15",3,1,0,0,0,0,0,0,0
"16",15,"2000-04-16","2000-04-22",5,2,0,0,0,0,0,0,0
"17",16,"2000-04-23","2000-04-29",6,1,0,0,0,0,0,0,0
"18",17,"2000-04-30","2000-05-06",7,1,0,0,0,0,0,0,0
"19",18,"2000-05-07","2000-05-13",7,0,0,0,0,0,0,0,0
"20",19,"2000-05-14","2000-05-20",8,1,0,1,0,1,0,0,0
"21",20,"2000-05-21","2000-05-27",8,0,0,1,0,0,0,0,0
"22",21,"2000-05-28","2000-06-03",8,0,0,1,0,0,0,0,0
"23",22,"2000-06-04","2000-06-10",8,0,0,1,0,0,0,0,0
"24",23,"2000-06-11","2000-06-17",8,0,0,1,0,0,0,0,0
"25",24,"2000-06-18","2000-06-24",8,0,0,1,0,0,0,0,0
"26",25,"2000-06-25","2000-07-01",8,0,0,1,0,0,0,0,0
"27",26,"2000-07-02","2000-07-08",8,0,0,1,0,0,0,0,0
"28",27,"2000-07-09","2000-07-15",8,0,0,1,0,0,0,0,0
"29",28,"2000-07-16","2000-07-22",8,0,0,1,0,0,0,0,0
"30",29,"2000-07-23","2000-07-29",8,0,0,1,0,0,0,0,0
"31",30,"2000-07-30","2000-08-05",9,1,0,1,0,0,0,0,0
"32",31,"2000-08-06","2000-08-12",9,0,0,1,0,0,0,0,0
"33",32,"2000-08-13","2000-08-19",9,0,0,1,0,0,0,0,0
"34",33,"2000-08-20","2000-08-26",9,0,0,1,0,0,0,0,0
"35",34,"2000-08-27","2000-09-02",10,1,0,1,0,0,0,0,0
"36",35,"2000-09-03","2000-09-09",10,0,0,1,0,0,0,0,0
"37",36,"2000-09-10","2000-09-16",10,0,0,1,0,0,0,0,0
"38",37,"2000-09-17","2000-09-23",10,0,0,1,0,0,0,0,0
"39",38,"2000-09-24","2000-09-30",10,0,0,1,0,0,0,0,0
