"Issue ID","Product","Component","Assignee","Status","Resolution","Summary","Opened","Changed","Priority","Version","Target Milestone","Severity"
194,"Calc","ui","oc","CLOSED","FIXED","Xcl Exp: Default style of all cells","2000-11-28 08:49:23","2013-08-07 15:15:02","P3",609," ---","Trivial"
13,"Calc","code","oc","CLOSED","NOT_AN_OOO_ISSUE","Test bug: Cell color is wrong","2000-10-16 18:33:28","2003-12-06 14:52:32","P4",605," ---","Trivial"
432,"Calc","code","Mathias_Bauer","CLOSED","FIXED","problems with saving in calc","2001-02-14 14:53:05","2003-12-06 14:52:32","P1 (highest)",619," ---","Trivial"
410,"Calc","code","frank","CLOSED","NOT_AN_OOO_ISSUE","Document load bug","2001-02-10 10:20:31","2003-12-06 14:52:34","P2",614," ---","Trivial"
409,"Calc","code","oc","CLOSED","DUPLICATE","Document load bug","2001-02-10 10:07:26","2003-12-06 14:52:34","P2",614," ---","Trivial"
411,"Calc","code","oc","CLOSED","DUPLICATE","Document load bug","2001-02-10 10:20:53","2003-12-06 14:52:34","P2",614," ---","Trivial"
375,"Calc","ui","frank","CLOSED","FIXED","Spreadsheet tabs labelled Tabelle1 instead of Sheet1 etc..","2001-02-04 13:01:57","2003-12-06 14:52:34","P3",614," ---","Trivial"
365,"Calc","code","issues","CLOSED","FIXED","TTEST produces error 508, bug in check for allowed values?","2001-02-02 12:51:03","2003-12-06 14:52:34","P3",614," ---","Trivial"
532,"Calc","code","issues","CLOSED","FIXED","Loading and Saving worksheets trough network","2001-03-08 11:46:19","2003-12-06 14:52:34","P3",619," ---","Trivial"
562,"Calc","ui","lutz.hoeger","CLOSED","WONT_FIX","KBD Shortcut to input line","2001-03-15 15:43:30","2003-12-06 14:52:34","P3",619," ---","Trivial"
381,"Calc","code","niklas.nebel","CLOSED","DUPLICATE","Problems with automatic filter","2001-02-05 18:00:42","2003-12-06 14:52:34","P3",614," ---","Trivial"
476,"Calc","code","niklas.nebel","CLOSED","WONT_FIX","Macros not functional?","2001-02-26 06:45:50","2003-12-06 14:52:34","P3",619," ---","Trivial"
367,"Calc","code","oc","CLOSED","IRREPRODUCIBLE","Graphs in imported Excel Spreadsheet to not retain type","2001-02-02 13:54:28","2003-12-06 14:52:34","P3",614," ---","Trivial"
373,"Calc","ui","oc","CLOSED","DUPLICATE","Wrong date displayed","2001-02-04 11:42:17","2003-12-06 14:52:34","P3",614," ---","Trivial"
374,"Calc","ui","oc","CLOSED","DUPLICATE","Dialog box for format date does not display month choices","2001-02-04 11:48:56","2003-12-06 14:52:34","P3",614," ---","Trivial"
402,"Calc","ui","oc","CLOSED","WONT_FIX","Can not open password protected spreadsheet","2001-02-08 22:32:49","2004-08-27 17:31:55","P3",614," ---","Trivial"
439,"Calc","ui","oc","CLOSED","FIXED","In spreadsheet draw images move about","2001-02-15 10:50:51","2003-12-06 14:52:34","P3",614," ---","Trivial"
460,"Calc","ui","oc","CLOSED","DUPLICATE","Spreadsheet with rows to repeat on print","2001-02-22 11:03:15","2003-12-06 14:52:34","P3",619," ---","Trivial"
480,"Calc","code","oc","CLOSED","DUPLICATE","Problem with DATE formated cells imported/exported to EXCEL","2001-02-26 19:32:08","2003-12-06 14:52:34","P3",614," ---","Trivial"
492,"Calc","ui","oc","CLOSED","FIXED","Excel export fails with unrecoverable error; no backup found","2001-03-01 20:06:41","2003-12-06 14:52:34","P3",619," ---","Trivial"
531,"Calc","code","oc","CLOSED","FIXED","Copy & paste feature not correct while using Client Access for windows","2001-03-08 11:40:31","2003-12-06 14:52:34","P3",619," ---","Trivial"
533,"Calc","ui","oc","CLOSED","WONT_FIX","loss of Window Freeze","2001-03-08 13:41:52","2003-12-06 14:52:34","P3",605," ---","Trivial"
563,"Calc","code","oc","CLOSED","IRREPRODUCIBLE","Application crashes while inserting column","2001-03-15 19:39:51","2003-12-06 14:52:34","P3",619," ---","Trivial"
