"Issue ID","Product","Component","Assignee","Status","Resolution","Summary","Opened","Changed","Priority","Version","Target Milestone","Severity"
211,"Draw","code","Dieter.Loeschky","CLOSED","FIXED","sd/source/core/drawdoc.cxx rev 1.11 cause core dump on unix","2000-12-06 16:57:58","2003-12-06 14:52:32","P2",605," ---","Trivial"
58,"Draw","ui","bettina.haberer","CLOSED","IRREPRODUCIBLE","Crash after selection switch in Drawing program","2000-10-26 06:40:26","2003-12-06 14:52:34","P3",605," ---","Trivial"
155,"Draw","ui","ooo","CLOSED","FIXED","bitmap converting problem","2000-11-16 00:47:58","2003-12-06 14:52:34","P3",605," ---","Trivial"
433,"Draw","code","Mathias_Bauer","CLOSED","FIXED","Saving doesn't work","2001-02-14 15:00:59","2005-01-14 20:46:41","P1 (highest)",619," ---","Trivial"
490,"Draw","code","sven.jacobi","CLOSED","FIXED","Exporting to eps is erroneous","2001-03-01 10:16:31","2003-12-06 14:52:34","P1 (highest)",619," ---","Trivial"
280,"Draw","ui","falko.tesch","CLOSED","WONT_FIX","from the professional end-user point of view, how can usability be enhanced","2001-01-08 16:07:22","2003-12-06 14:52:34","P2",605," ---","Trivial"
276,"Draw","code","bettina.haberer","CLOSED","FIXED","Draw: writing and reading back an XML document causes draw to crash","2001-01-05 09:56:49","2003-12-06 14:52:34","P3",605," ---","Trivial"
312,"Draw","ui","bettina.haberer","CLOSED","FIXED","insert | Object crashes OO","2001-01-20 22:33:15","2003-12-06 14:52:34","P3",609," ---","Trivial"
261,"Draw","ui","wolframgarten","CLOSED","WONT_FIX","exporting drawing to .eps looses info about transparency of images","2001-01-01 16:41:47","2003-12-06 14:52:34","P4",605," ---","Trivial"
1044,"Draw","formatting","issues","CONFIRMED"," ---","align objects relative to the object that was selected first","2001-06-15 12:42:49","2013-09-12 00:42:01","P4",627,"AOO Later","Trivial"
920,"Draw","ui","bettina.haberer","CLOSED","FIXED","Cannot place objects into another layer with drag'n'drop","2001-05-18 22:32:33","2003-12-06 14:52:34","P3",627," ---","Trivial"
1082,"Draw","ui","bettina.haberer","CLOSED","FIXED","Drawing","2001-06-21 14:31:24","2003-12-06 14:52:34","P3",627," ---","Trivial"
982,"Draw","code","christian.guenther","CLOSED","FIXED","can read DXF file","2001-05-30 17:36:03","2004-01-15 12:41:36","P3",627," ---","Trivial"
965,"Draw","ui","falko.tesch","CLOSED","WONT_FIX","Panning and zooming with mouse","2001-05-28 19:11:19","2003-12-06 14:52:34","P3",627," ---","Trivial"
1065,"Draw","code","falko.tesch","CLOSED","FIXED","Add cutting or eraser tool to bitmap graphics","2001-06-20 11:00:49","2007-01-31 14:39:22","P3",632," ---","Trivial"
964,"Draw","code","sven.jacobi","CLOSED","FIXED","Graphic format problem","2001-05-28 19:07:29","2013-08-07 15:40:53","P3",627," ---","Trivial"
836,"Draw","code","wolframgarten","CLOSED","IRREPRODUCIBLE","Saving a diagram loosses connector's format","2001-05-01 17:39:00","2003-12-06 14:52:34","P3",625," ---","Trivial"
1117,"Draw","code","bettina.haberer","CLOSED","FIXED","unable to open a sxd document","2001-06-26 19:11:01","2003-12-06 14:52:34","P4",632," ---","Trivial"
1113,"Draw","ui","wolframgarten","CLOSED","FIXED","Switch default for Drag&Copy","2001-06-26 17:54:12","2013-08-12 10:54:34","P4",627,"3.4.1","Trivial"
1257,"Draw","ui","issues","ACCEPTED"," ---","Change how 'allow quick editing' works","2001-07-17 16:38:19","2013-02-07 22:33:20","P3",632,"AOO Later","Trivial"
1130,"Draw","code","issues","ACCEPTED"," ---","Keep tree structure when importing into gallery","2001-06-28 09:13:27","2013-02-07 22:41:52","P4",632,"AOO Later","Trivial"
1259,"Draw","ui","bettina.haberer","CLOSED","FIXED","Cursor 'gets stuck' on object points","2001-07-17 17:44:29","2003-12-06 14:52:34","P2",632," ---","Trivial"
1256,"Draw","ui","Armin.Le.Grand","CLOSED","NOT_AN_OOO_ISSUE","Objects snap to themselves when being moved.","2001-07-17 16:09:27","2017-05-20 09:59:45","P3",632," ---","Trivial"
1280,"Draw","ui","Armin.Le.Grand","CLOSED","IRREPRODUCIBLE","OO Draw gets 'unrecouverable error' while dublicating arrow or poligon","2001-07-19 20:34:02","2003-12-06 14:52:34","P3",632," ---","Trivial"
1486,"Draw","ui","bettina.haberer","CLOSED","IRREPRODUCIBLE","Drawing rectangulars and circles concentrical","2001-08-17 21:55:46","2003-09-08 16:52:24","P3",633," ---","Trivial"
1587,"Draw","ui","bettina.haberer","CLOSED","NOT_AN_OOO_ISSUE","Resizing 1 dimension of a 3D object resizes also other dimension","2001-08-30 20:19:13","2003-09-08 16:52:24","P3",638," ---","Trivial"
1289,"Draw","ui","christian.guenther","CLOSED","FIXED","Draw file crashs on load","2001-07-20 15:38:05","2003-12-06 14:52:34","P3",632," ---","Trivial"
1186,"Draw","code","wolframgarten","CLOSED","IRREPRODUCIBLE","drawing causes OpenOffice 632 to crash","2001-07-07 15:19:08","2003-12-06 14:52:34","P3",632," ---","Trivial"
1191,"Draw","code","wolframgarten","CLOSED","IRREPRODUCIBLE","Export to eps does not work","2001-07-09 11:42:45","2003-12-06 14:52:34","P3",627," ---","Trivial"
1248,"Draw","code","wolframgarten","CLOSED","FIXED","SVG Export with no Element Type Names","2001-07-16 17:04:45","2003-12-06 14:52:34","P3",632," ---","Trivial"
1557,"Draw","code","bettina.haberer","CLOSED","FIXED","User required to select filter type when opeing type .pcd and .sgf files","2001-08-28 12:31:55","2003-09-08 16:52:24","P4",638," ---","Trivial"
1269,"Draw","code","sven.jacobi","CLOSED","FIXED","User required to select filter type when opeing type .pcd files","2001-07-18 18:29:35","2003-12-06 14:52:32","P4",633," ---","Trivial"
1276,"Draw","code","sven.jacobi","CLOSED","FIXED","file types XPM are corrupt when open","2001-07-19 17:00:39","2003-12-06 14:52:32","P4",633," ---","Trivial"
2678,"Draw","code","issues","CONFIRMED"," ---","Printing A3 landscape posters onto A4 portrait gives wrong overlap","2002-01-01 20:31:57","2017-05-20 11:30:02","P3",641,"AOO Later","Trivial"
1980,"Draw","code","issues","ACCEPTED"," ---","Export EPS text remains not underlined","2001-10-21 22:48:42","2017-05-20 11:29:54","P3",638,"AOO Later","Trivial"
2497,"Draw","open-import","Armin.Le.Grand","RESOLVED","FIXED","allow import of SVG (Scalable Vector Graphics)","2001-12-10 17:16:47","2013-02-08 17:26:30","P3",641,"AOO Later","Trivial"
2084,"Draw","code","bettina.haberer","CLOSED","IRREPRODUCIBLE","Crash when typing text","2001-11-01 02:14:10","2003-09-08 16:52:24","P1 (highest)",632," ---","Trivial"
1821,"Draw","ui","sven.jacobi","CLOSED","FIXED","Selection of resolution of TIFF exporting","2001-10-07 23:22:34","2013-08-07 15:40:43","P2",605," ---","Trivial"
2710,"Draw","code","Armin.Le.Grand","CLOSED","FIXED","File problem","2002-01-06 17:08:36","2008-05-17 23:54:08","P3",641," ---","Trivial"
2062,"Draw","code","bettina.haberer","CLOSED","WONT_FIX","Powerpoint 95/97/2000 import: The Line spacings (in points) are not imported","2001-10-30 10:14:15","2003-09-08 16:52:24","P3",638," ---","Trivial"
2064,"Draw","code","christian.guenther","CLOSED","FIXED","Powerpoint 95/97/2000: import of file is fine. But saved as .sxi, OO losts the background color","2001-10-30 14:49:03","2003-09-08 16:52:24","P3",638," ---","Trivial"
2077,"Draw","ui","christian.guenther","CLOSED","IRREPRODUCIBLE","Frequent application freeze","2001-10-31 12:47:39","2003-09-08 16:52:24","P3",638," ---","Trivial"
2847,"Draw","code","christian.guenther","CLOSED","FIXED","Drawing program will not print","2002-01-15 19:19:39","2003-09-08 16:52:24","P3",641," ---","Trivial"
1919,"Draw","ui","christian.jansen","CLOSED","DUPLICATE","Integrate into area tab definition of new presets for colors, gradients, hatchings and bitmaps","2001-10-16 16:19:14","2009-10-14 15:20:23","P3",638,"AOO Later","Trivial"
2687,"Draw","code","malte_timmermann","CLOSED","FIXED","Wrong interpretation of words in spreadsheet text","2002-01-03 08:25:51","2003-09-08 16:52:24","P3",641," ---","Trivial"
2241,"Draw","ui","thorsten.martens","CLOSED","FIXED","error opening second copy of gif document from menubar - file - filename.gif","2001-11-20 15:03:31","2003-09-08 16:52:24","P3",641," ---","Trivial"
1964,"Draw","ui","wolframgarten","CLOSED","FIXED","fontworks is unmovable","2001-10-20 16:09:44","2003-09-08 16:52:24","P3",638," ---","Trivial"
2050,"Draw","ui","wolframgarten","CLOSED","IRREPRODUCIBLE","Duplicate menu accelerator keys","2001-10-29 03:50:03","2003-09-08 16:52:24","P3",638," ---","Trivial"
2203,"Draw","code","wolframgarten","CLOSED","IRREPRODUCIBLE","windows metafile format is not pasted correctly","2001-11-14 14:47:06","2003-09-08 16:52:24","P3",605," ---","Trivial"
2389,"Draw","code","wolframgarten","CLOSED","IRREPRODUCIBLE","""Unrecoverable error"" when adding new gallery themes","2001-12-02 17:51:29","2003-09-08 16:52:24","P3",641," ---","Trivial"
2069,"Draw","code","bettina.haberer","CLOSED","WONT_FIX","Powerpoint 95/97/2000 import: A paragraph with a line spacing (in lines unit) is show to low.","2001-10-30 16:32:40","2003-09-08 16:52:24","P4",638," ---","Trivial"
2316,"Draw","ui","issues","CLOSED","OBSOLETE","xpm files when open on Solaris Intel are corrupt","2001-11-28 16:32:34","2018-08-13 16:05:46","P4",641,"AOO Later","Trivial"
2609,"Draw","ui","Armin.Le.Grand","CLOSED","IRREPRODUCIBLE","Cylinders do not light properly","2001-12-20 20:29:45","2003-09-08 16:52:24","P5 (lowest)",638," ---","Trivial"
2432,"Draw","code","sven.jacobi","CLOSED","FIXED","Worried about gsl_getSystemTextEncoding in wmf code","2001-12-04 13:10:06","2007-08-27 10:59:16","P5 (lowest)",641,"OOo 2.0","Trivial"
2882,"Draw","ui","issues","CONFIRMED"," ---","Draw: Insert > Fields needs more options: e.g subject, title, slide name, file name etc.","2002-01-18 21:12:22","2017-03-07 15:51:49","P3",641," ---","Trivial"
3813,"Draw","code","issues","CONFIRMED"," ---","Object moves when I click","2002-04-02 20:11:54","2013-02-07 22:13:07","P3",641,"AOO Later","Trivial"
4258,"Draw","open-import","issues","CONFIRMED"," ---","WMF text drawn with different font ?","2002-04-26 08:35:35","2014-07-24 17:16:55","P3","3.3.0 or older (OOo)"," ---","Trivial"
3469,"Draw","code","issues","ACCEPTED"," ---","Pasting from Sdraw to MSO","2002-03-13 15:39:11","2013-02-07 22:12:45","P3",641,"AOO Later","Trivial"
3607,"Draw","ui","issues","ACCEPTED"," ---","format->text for draw objects has problem with ""adjust to contour""","2002-03-21 11:21:17","2017-05-20 11:29:48","P3",642,"AOO Later","Trivial"
3759,"Draw","ui","issues","ACCEPTED"," ---","edit style organizer pane","2002-03-31 22:56:27","2017-05-20 11:29:30","P3",641,"AOO Later","Trivial"
3984,"Draw","code","issues","ACCEPTED"," ---","Fill gradient should get rotated too at object-rotation","2002-04-11 23:31:41","2013-02-07 22:32:35","P3",641," ---","Trivial"
3467,"Draw","ui","issues","ACCEPTED"," ---","Abiltiy to put in a scaling factor","2002-03-13 15:20:40","2013-02-07 22:33:17","P4",641,"AOO Later","Trivial"
3985,"Draw","ui","issues","ACCEPTED"," ---","3D rotation could be improved","2002-04-11 23:37:09","2013-02-07 22:36:06","P4",641,"AOO Later","Trivial"
4195,"Draw","ui","issues","ACCEPTED"," ---","Flip 3D objects","2002-04-23 11:26:18","2013-02-07 22:32:12","P4",641,"AOO Later","Trivial"
3008,"Draw","ui","bettina.haberer","CLOSED","NOT_AN_OOO_ISSUE","Rectangle and Square behave the same.","2002-02-05 14:19:28","2003-09-08 16:52:24","P2",641," ---","Trivial"
3678,"Draw","code","wolframgarten","CLOSED","IRREPRODUCIBLE","Crash when adding text into object","2002-03-26 20:59:34","2003-09-08 16:52:24","P2",641," ---","Trivial"
3679,"Draw","code","wolframgarten","CLOSED","IRREPRODUCIBLE","Tools: Options: Drawing: (Click Any) Crashes","2002-03-26 22:13:38","2003-09-08 16:52:24","P2",641," ---","Trivial"
4042,"Draw","ui","wolframgarten","CLOSED","IRREPRODUCIBLE","Rotate 3D Objects crash DrawingModule","2002-04-15 13:49:35","2003-09-08 16:52:24","P2",641," ---","Trivial"
2950,"Draw","code","Armin.Le.Grand","CLOSED","FIXED","coping and pasting line objects shift line","2002-01-26 05:13:31","2008-05-17 23:23:29","P3",641," ---","Trivial"
3133,"Draw","code","Armin.Le.Grand","CLOSED","FIXED","Text background getting rounded corners","2002-02-19 05:22:42","2008-05-17 23:42:14","P3",641," ---","Trivial"
3772,"Draw","code","Armin.Le.Grand","CLOSED","NOT_AN_OOO_ISSUE","3D effects on bitmaps distorts the bitmap","2002-04-01 13:39:28","2003-09-08 16:52:24","P3",641," ---","Trivial"
3811,"Draw","code","Armin.Le.Grand","CLOSED","FIXED","Funny zoom problem","2002-04-02 20:04:01","2008-05-17 23:06:05","P3",641," ---","Trivial"
2901,"Draw","ui","bettina.haberer","CLOSED","WONT_FIX","Duplicate slide with right-click","2002-01-21 19:41:21","2003-09-08 16:52:24","P3",641," ---","Trivial"
3481,"Draw","editing","bettina.haberer","CLOSED","FIXED","WordArt for OpenOffice(Word Processor)?","2002-03-14 10:12:46","2006-08-03 09:45:41","P3",641," ---","Trivial"
3849,"Draw","code","christian.guenther","CLOSED","DUPLICATE","Impress starts with ambiguous error message.","2002-04-03 19:08:03","2003-09-08 16:52:24","P3",641," ---","Trivial"
4015,"Draw","ui","christian.guenther","CLOSED","FIXED","crossed links on connectors page in online help","2002-04-13 19:55:51","2003-09-08 16:52:24","P3",641,"OOo 1.1 Beta","Trivial"
2948,"Draw","ui","falko.tesch","CLOSED","IRREPRODUCIBLE","Link path should be relative, not absolute","2002-01-25 22:12:08","2003-09-08 16:52:24","P3",641," ---","Trivial"
3618,"Draw","ui","falko.tesch","CLOSED","DUPLICATE","DBMS and Diagram tools","2002-03-21 20:28:12","2003-09-08 16:52:24","P3",641," ---","Trivial"
3659,"Draw","code","falko.tesch","CLOSED","WONT_FIX","A ""modal"" line tool with settable sample rate","2002-03-26 06:46:05","2003-09-30 14:48:15","P3",641," ---","Trivial"
4003,"Draw","ui","falko.tesch","CLOSED","NOT_AN_OOO_ISSUE","Join text to a path","2002-04-12 21:44:34","2003-10-17 06:22:21","P3",641," ---","Trivial"
3933,"Draw","code","frank.schoenheit","CLOSED","FIXED","Entire Open Office Crashes","2002-04-08 20:49:39","2003-09-08 16:52:24","P3",641,"OOo 1.0.2","Trivial"
2935,"Draw","code","Joost.Andrae","CLOSED","FIXED","Problem including multi-page drawings in swriter documents","2002-01-24 03:13:49","2003-09-08 16:52:24","P3",641," ---","Trivial"
2949,"Draw","code","ooo","CLOSED","NOT_AN_OOO_ISSUE","Gradient doesn't print correctly","2002-01-26 05:07:18","2017-05-20 09:59:46","P3",641," ---","Trivial"
3032,"Draw","code","sven.jacobi","CLOSED","FIXED","EPS export bug: scale instead of show","2002-02-08 22:57:52","2008-05-18 00:00:53","P3",641," ---","Trivial"
3809,"Draw","code","sven.jacobi","CLOSED","FIXED","Can't import DXF","2002-04-02 17:15:17","2008-05-17 23:15:14","P3",642," ---","Trivial"
