"Products","Percent_of_correlated_lags"
"1","kernel_networking",1.67
"2","eclipse_platform",4.02
"3","eclipse_data_tools",0.28
"4","eclipse_birt",2.07
"5","eclipse_jdt",0.56
"6","eclipse_pde",1
"7","mozilla_calendar",0.74
"8","mozilla_firefox",3.75
"9","mozilla_core",3.35
"10","mozilla_thunderbird",1.52
"11","kernel_IO_Storage",3.93
"12","kernel_file_system",0.72
"13","open_office_writer",0.53
"14","open_office_calc",0.53
"15","open_office_draw",0.53
"16","apache_ant",0.21
"17","apache_apache2",0.43
"18","libre_office_writer",1.4
"19","libre_office_calc",12.59
"20","libre_office_draw",14.45
