"arima_th:16","arima_th:2","arima_th:32","arima_th:4","arima_th:64","arima_th:8","arima_th:all","ericsson","ets_th:16","ets_th:2","ets_th:32","ets_th:4","ets_th:64","ets_th:8","ets_th:all","naive"
"kernel_networking",2.14,3.27,2.44,3.03,2.17,2.72,1.95,2.53,2.16,2.55,2.21,2.66,2.14,2.12,1.93,1.83
"eclipse_platform",49.72,76.68,48.98,69.9,45.48,51.66,45.43,46.65,48.46,54.5,47.2,53.16,45.4,53.16,44.05,49.11
"eclipse_data_tools",8.91,10.84,8.89,11.67,8.49,9.94,8.12,8.52,8.78,9.63,8.68,9.59,8.47,9.32,8.37,8.75
"eclipse_birt",22.98,38.44,22.76,32.32,22.63,28.66,23.51,23.61,24.72,26.89,25.58,27.11,22.34,24.98,20.67,24.15
"eclipse_jdt",25.2,37.6,21.41,39.5,20.09,31.7,24.57,26.01,24.6,27.27,20.85,30.22,19.68,28.88,22.17,23.54
"eclipse_pde",9.21,11.51,10.17,11.47,9.38,9.73,8.07,9.67,8.42,9.11,9.08,9.46,9.47,9.35,8.24,8.35
"mozilla_calendar",19.09,27.1,20.03,23.51,18.28,19.94,18.97,14.86,16.65,19.12,14.62,21.14,14.79,18.13,13.75,14.85
"mozilla_firefox",79.41,141.15,62.65,112.73,63.15,82.05,60.17,71.03,79,86.12,67.09,85.12,60.69,89.07,58.61,70.12
"mozilla_core",152.18,263.84,146.26,210.33,127.63,174.31,117.35,131.98,148.97,161.08,139.83,162.24,139.33,171.8,125.02,144.47
"mozilla_thunderbird",23.08,42.6,25.15,32.04,21.68,24.46,18.7,20.94,24.09,25.57,20.89,26.69,20.73,25.04,19.52,22.04
"kernel_IO_Storage",3.19,3.91,3.26,3.88,3.69,3.25,2.8,3.19,2.93,3.02,2.88,3.08,2.84,2.8,2.77,2.72
"kernel_file_system",4.91,5.99,4.89,6.66,3.12,4.94,2.68,3.5,4.67,5.51,4.13,5.01,3.54,4.68,2.74,2.83
"open_office_writer",85.51,101.56,36.85,89.02,43.83,81.48,46.25,54.39,78.91,85.88,41.2,85.89,43.57,79.84,44.7,46.26
"open_office_calc",27.11,36.14,19.82,30.37,9.56,26.07,17.21,19.18,9.53,27.59,9.29,26.05,9.62,26.1,11.7,13.84
"open_office_draw",8.64,9.44,7.18,9.84,3.93,9.15,6.24,4.96,6.36,7.59,8.58,6.22,4.51,6.86,3.84,2.71
"apache_ant",20.61,28.87,20.51,22.32,20.66,20.17,20.12,19.79,19.93,19.96,20.07,20.13,20.68,20.13,20.43,22.69
"apache_apache2",6.54,12.47,6.89,12.23,6.52,7.23,6.13,10.49,6.32,7.33,6.25,7.08,6.4,6.86,7.36,7.71
"libre_office_writer",26.64,54.4,24.48,37.51,21.91,27.13,20.53,24.19,22.79,25.96,23.42,23.81,21.35,27.72,20.9,28.79
"libre_office_calc",14.39,32.06,14.18,20.33,13.87,12.87,11.38,12.69,15.3,16.01,14.9,14.62,13.52,16.42,12.01,17.62
"libre_office_draw",3.57,6.42,3.81,5.27,3.37,4.06,3.46,3.43,3.74,4.16,3.72,4.21,3.61,4.23,3.51,3.91
"mean_error",29.65,47.21,25.53,39.2,23.47,31.58,23.18,25.58,27.82,31.24,24.52,31.17,23.63,31.37,22.61,25.81
"errors_standard_deviation",37.09,62.12,32.44,49.77,29.39,40.83,27.34,30.99,36.36,39.14,31.84,39.29,31.49,40.92,28.69,33.21
