"arima_th:16","arima_th:2","arima_th:32","arima_th:4","arima_th:64","arima_th:8","arima_th:all","ericsson","ets_th:16","ets_th:2","ets_th:32","ets_th:4","ets_th:64","ets_th:8","ets_th:all","naive"
"kernel_networking",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"eclipse_platform",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eclipse_data_tools",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"eclipse_birt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eclipse_jdt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"eclipse_pde",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mozilla_calendar",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mozilla_firefox",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mozilla_core",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"mozilla_thunderbird",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"kernel_IO_Storage",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"kernel_file_system",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"open_office_writer",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"open_office_calc",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"open_office_draw",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"apache_ant",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"apache_apache2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"libre_office_writer",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"libre_office_calc",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"libre_office_draw",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"number_of_independent_errors",13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
"number_of_dependent_errors",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
