"arima_th:16","arima_th:2","arima_th:32","arima_th:4","arima_th:64","arima_th:8","arima_th:all","ericsson","ets_th:16","ets_th:2","ets_th:32","ets_th:4","ets_th:64","ets_th:8","ets_th:all","naive"
"kernel_networking",-200,-100,-100,-200,-100,-100,0,-100,-100,-100,-100,-100,-100,-100,0,0
"eclipse_platform",-40.82,0,8.16,-55.1,-4.08,2.04,8.16,6.12,-8.16,2.04,8.16,-10.2,-8.16,4.08,10.2,0
"eclipse_data_tools",-37.5,0,0,-25,-12.5,0,0,0,-12.5,0,0,-12.5,-12.5,0,0,0
"eclipse_birt",-33.33,8.33,8.33,-58.33,-16.67,8.33,4.17,4.17,-12.5,0,8.33,-8.33,0,-4.17,16.67,0
"eclipse_jdt",-69.57,-8.7,13.04,-60.87,-34.78,8.7,-4.35,-13.04,-30.43,-4.35,17.39,-17.39,-21.74,13.04,4.35,0
"eclipse_pde",-37.5,-12.5,-12.5,-37.5,-12.5,-25,0,-12.5,-12.5,0,-12.5,-12.5,-12.5,-12.5,0,0
"mozilla_calendar",-64.29,-35.71,-28.57,-92.86,-35.71,-42.86,-28.57,0,-50,-14.29,0,-35.71,-28.57,0,7.14,0
"mozilla_firefox",-60,-12.86,10,-101.43,-17.14,11.43,14.29,-1.43,-21.43,-12.86,14.29,-22.86,-27.14,4.29,17.14,0
"mozilla_core",-45.83,-5.56,11.81,-82.64,-20.83,-1.39,18.75,9.03,-12.5,-2.78,3.47,-11.81,-18.75,3.47,13.19,0
"mozilla_thunderbird",-45.45,-4.55,4.55,-90.91,-9.09,-13.64,18.18,9.09,-18.18,-9.09,9.09,-13.64,-13.64,9.09,13.64,0
"kernel_IO_Storage",-50,-50,-50,-50,-50,-50,0,-50,-50,0,0,-50,0,0,0,0
"kernel_file_system",-200,-100,-50,-150,-100,-100,0,-50,-150,-100,-50,-150,-100,-100,0,0
"open_office_writer",-93.48,-84.78,6.52,-119.57,-76.09,21.74,0,-17.39,-84.78,-69.57,6.52,-84.78,-71.74,10.87,4.35,0
"open_office_calc",-130.77,-107.69,30.77,-176.92,-100,-46.15,-30.77,-46.15,-100,30.77,30.77,-107.69,-100,30.77,15.38,0
"open_office_draw",-350,-300,-50,-350,-350,-250,-200,-100,-200,-200,-100,-250,-200,-300,-50,0
"apache_ant",0,9.09,9.09,-27.27,9.09,9.09,9.09,13.64,9.09,13.64,9.09,13.64,9.09,9.09,9.09,0
"apache_apache2",-71.43,14.29,14.29,-71.43,0,14.29,14.29,-42.86,0,14.29,14.29,0,14.29,14.29,0,0
"libre_office_writer",-32.14,7.14,25,-92.86,3.57,14.29,28.57,14.29,17.86,21.43,25,10.71,3.57,17.86,28.57,0
"libre_office_calc",-17.65,17.65,23.53,-88.24,29.41,17.65,35.29,29.41,17.65,11.76,23.53,5.88,5.88,17.65,29.41,0
"libre_office_draw",-66.67,0,0,-100,-33.33,0,0,0,-33.33,0,0,-33.33,-33.33,0,0,0
"mean_improvement",-82.3215,-38.2925,-6.299,-101.5465,-46.5325,-26.074,-5.645,-17.381,-42.5855,-20.9505,-4.6285,-44.5255,-35.762,-19.1085,5.9565,0
"improvements_standard_deviation",82.245874526197,74.1269666021184,33.0071268061914,74.4449075897917,80.6087403433203,63.9645403740475,48.375371343604,36.2954119037539,57.4220291007957,55.4783643437976,36.5771325276787,65.2897384115001,53.2893812469634,74.3933318513653,16.0841969761757,0
